,SNAP_TIME,AAS_WAIT,AAS_CPU,AAS
0,2020102700,0.0,0,2.69
1,2020102700,2.22,0,2.22
2,2020102701,0.0,0,1.93
3,2020102701,1.88,0,1.88
4,2020102702,0.0,0,1.61
5,2020102702,0.93,0,0.93
6,2020102703,0.0,0,2.78
7,2020102703,0.69,0,0.69
8,2020102704,0.0,0,2.36
9,2020102704,0.5,0,0.5
10,2020102705,0.0,0,2.19
11,2020102705,0.58,0,0.58
12,2020102706,0.0,0,2.4
13,2020102706,0.72,0,0.72
14,2020102707,0.0,0,4.38
15,2020102707,1.82,0,1.82
16,2020102708,0.0,0,11.99
17,2020102708,5.15,0,5.15
18,2020102709,0.0,0,17.55
19,2020102709,7.21,0,7.21
20,2020102710,0.0,0,19.19
21,2020102710,8.43,0,8.43
22,2020102711,0.0,0,14.84
23,2020102711,7.19,0,7.19
24,2020102712,0.0,0,9.75
25,2020102712,8.34,0,8.34
26,2020102713,0.0,0,15.2
27,2020102713,5.81,0,5.81
28,2020102714,0.0,0,22.08
29,2020102714,9.05,0,9.05
30,2020102715,0.0,0,12.72
31,2020102715,5.81,0,5.81
32,2020102716,0.0,0,7.57
33,2020102716,4.12,0,4.12
34,2020102717,0.0,0,3.82
35,2020102717,2.91,0,2.91
36,2020102718,0.0,0,3.22
37,2020102718,1.56,0,1.56
38,2020102719,0.0,0,2.36
39,2020102719,0.99,0,0.99
40,2020102720,0.0,0,3.21
41,2020102720,2.36,0,2.36
42,2020102721,0.0,0,2.26
43,2020102721,1.37,0,1.37
44,2020102722,0.0,0,2.54
45,2020102722,2.08,0,2.08
46,2020102723,0.0,0,2.0
47,2020102723,0.89,0,0.89
