SNAP_TIME,CPU used by this session,db block changes,elapsed,execute count,logons cumulative,parse count (hard),parse count (total),parse time cpu,physical read total bytes,physical write total bytes,redo size,session logical reads,sorts (disk),user calls,user commits
202011012300,0,0,3608,0,0,0,0,0,0,0,0,0,0,0,0
202011020000,0,0,3612,0,0,0,0,0,0,0,0,0,0,0,0
202011020100,206253,24729211,3554,2789492,2119,2847,701360,2194,353886380032,117089563136,3826269944,162477830,0,1154945,21915
202011020200,348332,87726645,3610,4492554,2913,6835,860340,6248,481015728128,138478943037,16897958328,957071720,2,3454900,88606
202011020300,373992,102758245,3608,2991398,2282,6002,693923,8946,599277007360,243538718858,32854065580,1082710774,1,1401260,113804
202011020400,339839,159063058,3609,3423026,2578,7134,906837,4744,415832408576,230443660800,26096210632,1515461836,2,1315231,136480
202011020500,289928,55170561,3608,5443440,3068,1350,1660864,6174,345281134592,94805808640,8585408824,1601553406,0,17363919,1453801
202011020600,274466,50603109,3608,3483295,2239,1630,853665,3440,323369720320,92594727424,7896164940,1774777057,0,14638094,136987
202011020700,786056,67005471,3611,11295804,3710,17220,2028499,20236,885723073024,111459539612,10948971268,2821170861,90,21640546,300095
202011020800,1677238,129868616,3557,29735772,10571,66482,5770684,90351,2673422877696,194335647327,24297874312,2262890290,74,37550713,720074
202011020900,2220957,187772617,3623,52682306,12064,84234,11094753,130217,2563182676480,235178141140,36564426820,3201639649,77,65933810,1433889
202011021000,2193009,213010631,3623,57685520,15041,88676,12822094,123775,1898330927104,255737926144,41895048644,3223595633,56,72050898,1645449
202011021101,2257444,220029927,3564,59182264,14715,81048,13198041,106335,2058193560576,260063143936,43276468452,3376570529,51,72455210,1708118
202011021200,1793986,157504282,3620,41419755,10302,50238,8959692,71379,2101447815680,318321728000,30013480008,2835168006,25,54115924,1187696
202011021300,2434187,152741343,3559,40407981,8802,69367,9057720,97773,2769173326336,190788360192,28612934020,2889157803,34,50359114,1127146
202011021400,2275145,257448976,3623,63736974,18741,79459,14977720,116532,2127443248640,297466735616,49639390108,3558985295,53,72739414,3165896
202011021500,2103740,243095273,3622,58966853,19215,98842,14218436,137565,1910603743232,287678245376,47252734124,3364356834,20,67458596,3816859
202011021600,1606212,229750908,3559,46900710,10777,56090,10647480,85834,1671273801216,258556252160,42347947388,2754495476,11,51224118,1417078
202011021700,1278939,162019222,3614,32554692,9049,57232,8425292,63051,1840951153664,197458701282,30261617556,2460773866,6,33502749,1770432
202011021800,876715,90210172,3612,19895408,11347,69240,4568641,54965,1541277500416,141337925632,17570996732,1678762723,0,14399194,548679
202011021900,476792,60372363,3611,13717942,2475,88113,3306617,46786,793891202560,87666488320,10350236440,969537122,2,12914396,579264
202011022000,711589,250787153,3611,19593553,7253,13006,10750444,42321,607505288192,431359331328,98858353120,3050076819,0,12102832,1325313
202011022100,439972,41200513,3549,7290579,2504,8737,2115418,10741,582522238464,78772157440,7163296380,3569254299,0,6141595,273139
202011022200,620686,40604897,3611,6490762,2429,11237,2156162,41071,1218410983936,93314232993,6778065820,1192181309,0,4100785,225121
202011022300,711735,39945052,3611,5353828,2143,22355,1376602,41227,786886133248,75447542784,6447533656,1173141944,0,2754240,170369
202011030000,468951,26686412,3616,4898865,2226,7386,1274078,13786,1087654100480,371970599936,4211596224,958847961,0,3102596,77084
202011030100,502846,251927386,3612,4672824,2260,4421,1012927,3275,549546648064,399192354304,40364000552,794530034,0,1406309,37274
202011030200,471279,182565208,3550,6331764,3145,27671,1272624,23612,561187691008,310853552737,31563224284,628653737,2,4063506,98452
202011030300,660337,230693831,3611,8873618,2837,6963,1254038,13017,768773321728,387935878282,42810277516,1655089248,1,7186322,243554
202011030400,615993,154730883,3612,9554443,2844,6778,1467283,7478,893795881472,535910766592,35972594560,1568942518,0,7967893,269177
202011030500,503201,199708609,3611,7030525,2289,770,1020080,2440,698915590144,449149967360,33971768504,1449919991,0,16001495,212815
202011030600,586107,266828487,3611,8244805,2293,1483,1273714,3141,650742549504,443017228800,44041267892,1756346005,1,17792355,257048
202011030700,913113,132124112,3552,16396946,3278,24232,2781930,27457,947742838784,273527295636,21024258164,1984116908,103,25459203,445893
202011030800,2009099,239378349,3623,41745449,12574,80094,7269532,103195,2202604653056,391225016415,40915923812,3307007026,117,50493288,916810
202011030900,2343662,222827615,3625,55678605,13640,86567,11314879,112317,2149909903360,336511964904,41372481184,3590537683,59,65151175,1516867
202011031000,2201321,258853560,3564,49897518,16039,90655,10341153,125577,2017292332032,324521961472,45351853424,3597918437,31,59862183,1368493
