SNAP_TIME,CPU used by this session,db block changes,elapsed,execute count,logons cumulative,parse count (hard),parse count (total),parse time cpu,physical read total bytes,physical write total bytes,redo size,session logical reads,sorts (disk),user calls,user commits
202011102300,0,0,3608,0,0,0,0,0,0,0,0,0,0,0,0
202011110000,0,0,3608,0,0,0,0,0,0,0,0,0,0,0,0
202011110100,7133,72487,3608,75296,286,3218,23532,1203,8951525376,7412858880,15647068,2855174,0,1687,755
202011110200,12869,202662,3608,136972,309,4135,60684,3559,5256771072,4088041984,34497176,5386717,0,2307,2144
202011110300,625,19669,3608,10770,265,243,5378,19,217907200,95193088,6540228,126645,0,1426,159
202011110400,916,17407,3608,5113,270,34,4388,81,231522304,93492224,6263944,180889,0,1500,159
202011110500,1474,272918,3607,30924,308,629,7205,235,1273154048,392496128,40011344,593607,0,3437,216
202011110600,936,725444,3547,8220,272,215,6075,17,719485440,595962368,112035216,807874,0,4803,161
202011110700,583,18265,3608,4845,272,11,4348,17,270186496,130332672,6330712,100921,0,1520,159
202011110800,6299,27686,3607,3899496,281,108,5686,106,5032100864,117826560,9468016,11312106,0,2188,223
202011110900,911,20342,3607,33306,281,109,5762,59,410893824,106748416,6731556,279723,0,1675,218
202011111000,881,252272,3606,27268,272,238,5201,20,3301492736,392587264,44180136,2816742,0,1527,220
202011111100,22010,440102,3608,61881,277,243,7339,26,19104157696,4768974848,853686524,102668034,9,1513,254
202011111200,868,22319,3606,27299,274,147,5242,28,967269376,110077952,6951844,206022,0,1508,221
202011111300,557,17987,3607,4691,270,2,4168,6,247439360,94885888,6401060,105469,0,1450,159
202011111400,776,19337,3607,26158,272,20,4651,9,969442816,131582464,6600112,201732,0,1504,218
202011111500,665,12026,3547,25982,264,20,4482,6,326313984,95372288,3610440,159642,0,1472,211
202011111600,737,18252,3607,26098,272,20,4576,8,331791872,103337472,6321540,192882,0,1502,214
202011111700,967,266039,3607,26378,272,27,4773,6,501831168,217432576,41267580,568364,0,1496,218
202011111800,849,19124,3607,26237,275,20,4711,9,314000896,127818240,6707560,201365,0,1511,218
202011111900,837,18519,3607,26111,275,20,4562,18,296385536,95276032,6493224,196514,0,1511,214
202011112000,1136,17530,3608,8392,318,27,7170,12,39126348800,437471744,6302396,111142,0,8395,159
202011112100,2780,70295,3608,37139,278,776,10517,140,777797632,131120128,14438472,1008219,0,1474,563
202011112200,5464,629497,3607,156781,272,2487,26168,937,1955868672,536331264,100840168,5265908,0,1464,1911
202011112300,81272,1325448,3548,78468,283,1154,13256,138,65057343488,24918619136,4092202328,334276781,20,1645,372
202011120000,1001,20914,3607,9139,311,197,7404,21,5841375744,332337664,6790728,123240,0,8604,161
202011120100,6740,63103,3607,76585,292,3227,23907,1147,8949586944,7405355008,13275972,2834344,0,1712,752
202011120200,14300,212998,3607,140461,309,4493,61082,3498,5252851200,4090803712,37204020,5438880,0,2302,2144
202011120300,558,21056,3607,10775,268,244,5354,17,234881024,95474688,6615336,124262,0,1450,159
202011120400,814,17555,3607,5142,272,41,4394,64,269004800,129133568,6232644,181054,0,1509,159
202011120500,1209,21223,3607,30858,306,653,7225,220,1110880768,222347264,6670200,262803,0,3362,216
202011120600,1781,1169507,3607,16531,281,837,10768,41,1111822336,889641984,190233800,2245408,0,5554,187
202011120700,6213,915780,3547,2792865,264,415,10712,42,1570666496,693235712,159595596,13806771,0,4242,756
202011120800,15267,3471751,3607,7006838,274,555,14619,208,4419016704,2474106880,629916552,38653937,0,12972,2408
202011120900,13980,2229959,3607,7081128,280,155,11371,134,2654212096,1475113984,371160660,33289186,0,9080,2379
202011121000,27758,3721700,3608,13427204,277,377,14797,65,5111756800,2587931648,651574076,67413996,0,18829,4007
202011121100,56986,1700259,3607,18034933,271,507,17750,74,22665789952,5782127104,1054103588,173726876,9,14230,4345
202011121200,7825,1383354,3607,3447384,273,167,9418,39,2320834560,1002896384,241706772,18140322,0,6649,1419
202011121300,13394,520571,3607,7863071,268,5,7470,16,1506199552,431706112,91594504,30553813,0,5302,1294
202011121400,6735,1412101,3607,1771014,269,61,11183,21,1732772864,1008447488,247005552,14986706,0,14243,4669
202011121500,875,20625,3608,26545,270,20,4613,8,972462592,134590976,7030404,226280,0,1483,218
