,SNAP_TIME,SERVICE_NAME,STAT_NAME,VALUE,DELTAT_SEC,RATE_VALUE,SERVICE_NAME,SUM(VALUE)
0,20201109000008,IOMUTX5,DB CPU,6157564778,,,IOMUTX5,3832978203583
1,20201109000008,SO_AUG_X1,DB CPU,8248892119,,,SO_AUG_X1,4997767074404
2,20201109000008,SYS$BACKGROUND,DB CPU,0,,,SYS$BACKGROUND,3199996016993
3,20201109000008,SYS$USERS,DB CPU,341704107860,,,SYS$USERS,362173855988807
4,20201109000008,IOMUTX5,sql execute elapsed time,12092091653,,,IOMUTX5,3832978203583
5,20201109000008,SO_AUG_X1,sql execute elapsed time,19921099805,,,SO_AUG_X1,4997767074404
6,20201109000008,SYS$BACKGROUND,sql execute elapsed time,0,,,SYS$BACKGROUND,3199996016993
7,20201109000008,SYS$USERS,sql execute elapsed time,954200970743,,,SYS$USERS,362173855988807
8,20201109000008,IOMUTX5,gc cr blocks received,0,,,IOMUTX5,3832978203583
9,20201109000008,SO_AUG_X1,gc cr blocks received,0,,,SO_AUG_X1,4997767074404
10,20201109000008,SYS$BACKGROUND,gc cr blocks received,0,,,SYS$BACKGROUND,3199996016993
11,20201109000008,SYS$USERS,gc cr blocks received,0,,,SYS$USERS,362173855988807
12,20201109000008,IOMUTX5,user calls,1575732,,,IOMUTX5,3832978203583
13,20201109000008,SO_AUG_X1,user calls,181476,,,SO_AUG_X1,4997767074404
14,20201109000008,SYS$BACKGROUND,user calls,0,,,SYS$BACKGROUND,3199996016993
15,20201109000008,SYS$USERS,user calls,14210740,,,SYS$USERS,362173855988807
16,20201109000008,IOMUTX5,session logical reads,29835190,,,IOMUTX5,3832978203583
17,20201109000008,SO_AUG_X1,session logical reads,1855262099,,,SO_AUG_X1,4997767074404
18,20201109000008,SYS$BACKGROUND,session logical reads,342453156,,,SYS$BACKGROUND,3199996016993
19,20201109000008,SYS$USERS,session logical reads,106570912831,,,SYS$USERS,362173855988807
20,20201109000008,IOMUTX5,workarea executions - optimal,248426,,,IOMUTX5,3832978203583
21,20201109000008,SO_AUG_X1,workarea executions - optimal,40399212,,,SO_AUG_X1,4997767074404
22,20201109000008,SYS$BACKGROUND,workarea executions - optimal,5229069,,,SYS$BACKGROUND,3199996016993
23,20201109000008,SYS$USERS,workarea executions - optimal,1777686979,,,SYS$USERS,362173855988807
24,20201109000008,IOMUTX5,user I/O wait time,7896331473,,,IOMUTX5,3832978203583
25,20201109000008,SO_AUG_X1,user I/O wait time,1791073822,,,SO_AUG_X1,4997767074404
26,20201109000008,SYS$BACKGROUND,user I/O wait time,6408971788,,,SYS$BACKGROUND,3199996016993
27,20201109000008,SYS$USERS,user I/O wait time,262021394895,,,SYS$USERS,362173855988807
28,20201109000008,IOMUTX5,DB time,16265769429,,,IOMUTX5,3832978203583
29,20201109000008,SO_AUG_X1,DB time,20105280810,,,SO_AUG_X1,4997767074404
30,20201109000008,SYS$BACKGROUND,DB time,0,,,SYS$BACKGROUND,3199996016993
31,20201109000008,SYS$USERS,DB time,1067940136878,,,SYS$USERS,362173855988807
32,20201109000008,IOMUTX5,user rollbacks,3,,,IOMUTX5,3832978203583
33,20201109000008,SO_AUG_X1,user rollbacks,0,,,SO_AUG_X1,4997767074404
34,20201109000008,SYS$BACKGROUND,user rollbacks,0,,,SYS$BACKGROUND,3199996016993
35,20201109000008,SYS$USERS,user rollbacks,1984,,,SYS$USERS,362173855988807
36,20201109000008,IOMUTX5,session cursor cache hits,216235,,,IOMUTX5,3832978203583
37,20201109000008,SO_AUG_X1,session cursor cache hits,17487073,,,SO_AUG_X1,4997767074404
38,20201109000008,SYS$BACKGROUND,session cursor cache hits,10705265,,,SYS$BACKGROUND,3199996016993
