,SNAP_TIME,WAIT_TIME_MILLI,WAIT_COUNT
0,202009280300,64,1
1,202009280300,32,4
2,202009241800,32,7
3,202009241800,8,303
4,202009250800,16,162
5,202009250800,4,2697
6,202009250800,2,19218
7,202009260600,4,420
8,202009260600,2,1439
9,202009271300,64,1
10,202009271300,8,92
11,202009271300,4,195
12,202009221200,128,4
13,202009221200,64,14
14,202009221500,128,6
15,202009230300,32,28
16,202009260700,8,89
17,202009260700,1,16308
18,202009280000,8,30
19,202009280000,2,450
20,202009280000,1,10556
21,202009202200,1,7537
22,202009211400,16,207
23,202009220600,64,8
24,202009220600,32,33
25,202009220600,16,114
26,202009220600,1,233937
27,202009230100,32,4
28,202009230100,16,29
29,202009230600,2,3764
30,202009230600,1,317505
31,202009232300,8,28
32,202009260200,32,51
33,202009201000,256,1
34,202009210100,32,6
35,202009231100,32,8
36,202009231200,8,190
37,202009231200,2,3766
38,202009231200,1,36436
39,202009240700,32,6
40,202009201600,16,6
41,202009201600,2,749
42,202009201600,1,9760
43,202009262300,8,63
44,202009270100,16,6
45,202009270100,2,466
46,202009210800,2,12369
47,202009221800,1,301240
48,202009222200,16,105
49,202009231400,128,1
50,202009231500,2,3541
51,202009231600,32,8
52,202009240900,8,631
53,202009250100,128,1
54,202009231800,32,10
55,202009231800,4,311
56,202009231800,1,18162
57,202009260400,128,1
58,202009260400,4,375
59,202009271600,16,2
60,202009271800,2,606
61,202009210200,64,20
62,202009210200,4,1534
63,202009210200,1,647213
64,202009211600,4,2374
65,202009221600,16,253
66,202009221600,4,2557
67,202009232000,128,1
68,202009232000,2,1934
69,202009240600,64,2
70,202009250600,4,454
71,202009230800,8,1161
72,202009241000,32,12
73,202009241000,16,164
74,202009260100,16,159
75,202009260100,8,157
76,202009271200,32,1
77,202009280600,8,56
78,202009200500,128,17
79,202009201100,1,505239
80,202009210600,64,1
81,202009210900,32,36
82,202009271500,16,10
83,202009280200,2,4737
84,202009201800,1,11854
85,202009231700,64,1
86,202009251900,8,50
87,202009260000,32,3
88,202009261400,64,1
89,202009261900,16,7
90,202009211500,1,175321
91,202009211700,16,172
92,202009212300,32,146
93,202009212300,16,267
94,202009220000,32,143
95,202009262000,8,31
96,202009220100,128,5
97,202009220100,64,19
98,202009220100,1,1365783
99,202009220500,16,33
100,202009220500,4,466
101,202009220700,64,1
102,202009221000,32,74
103,202009221000,8,1498
104,202009221700,64,14
105,202009230000,4,360
106,202009240800,16,97
107,202009240800,4,1090
108,202009262100,16,3
109,202009270900,2,1505
110,202009240500,1,13194
111,202009211800,2,3871
112,202009271400,32,12
113,202009241300,1,48411
114,202009241400,32,5
115,202009250700,256,1
116,202009250700,16,68
117,202009250700,2,4621
118,202009251000,4,2824
119,202009200600,256,7
120,202009200600,4,19657
121,202009200600,1,4014073
122,202009200700,16,632
123,202009200700,4,11357
124,202009221300,32,221
125,202009241600,8,155
126,202009241600,4,449
127,202009251100,16,200
128,202009261500,8,48
129,202009200100,8,261
130,202009200100,4,777
131,202009200100,1,145687
132,202009201300,32,4
133,202009230700,128,7
134,202009230700,32,33
135,202009230700,8,486
136,202009230700,4,1898
137,202009231900,2,1682
138,202009240400,16,9
139,202009242100,4,13584
140,202009251500,128,1
141,202009260500,64,1
142,202009260500,2,2246
143,202009261700,2,623
144,202009270700,8,35
145,202009270700,4,192
146,202009280100,128,1
147,202009262200,32,3
148,202009262200,16,19
149,202009270300,8,36
150,202009270300,1,19469
151,202009280700,8,98
152,202009280700,4,318
153,202009200800,256,6
154,202009200800,2,25355
155,202009220900,8,2826
156,202009270400,4,651
157,202009270800,32,1
158,202009270800,1,14509
159,202009202300,4,83
160,202009230500,64,6
161,202009240100,128,1
162,202009240100,32,28
163,202009240100,1,222563
164,202009251700,4,438
165,202009252000,64,8
166,202009252000,1,24557
167,202009271100,8,55
168,202009271100,4,123
169,202009280800,16,145
170,202009280900,8,416
171,202009240200,2,7899
172,202009210300,16,220
173,202009210300,8,383
174,202009210300,1,273579
175,202009210400,8,50
176,202009210400,4,204
177,202009210400,1,84119
178,202009210700,64,10
179,202009210700,8,317
180,202009221900,128,14
181,202009221900,8,381
182,202009240000,16,2
183,202009240000,4,32
184,202009241500,32,5
185,202009252300,16,32
186,202009252300,2,1712
187,202009270200,32,11
188,202009270200,2,4495
189,202009281000,32,20
190,202009281000,8,344
191,202009281000,4,1349
192,202009272200,16,30
193,202009220200,8,673
194,202009222000,32,42
195,202009250400,2,1150
196,202009250400,1,202755
197,202009200200,1,330800
198,202009280300,4,393
199,202009260600,32,2
200,202009271300,32,3
201,202009271300,1,32380
202,202009211100,8,457
203,202009221200,32,40
204,202009230300,64,2
205,202009251200,64,4
206,202009260800,1,22705
207,202009261000,8,63
208,202009261000,4,163
209,202009202200,16,12
210,202009211400,8,679
211,202009220600,4,1359
212,202009220600,2,4769
213,202009232300,4,123
214,202009251800,16,28
215,202009260200,256,2
216,202009201000,4,1687
217,202009201000,2,7332
218,202009210100,2,632
219,202009200400,256,7
220,202009200400,1,1559285
221,202009231200,32,8
222,202009250000,32,11
223,202009262300,1,27101
224,202009270100,1,10624
225,202009221800,128,4
226,202009222100,2,15612
227,202009222300,32,87
228,202009240900,256,1
229,202009240900,4,2226
230,202009250100,16,30
231,202009250300,32,28
232,202009231800,2,2210
233,202009242000,4,713
234,202009242300,64,1
235,202009242300,4,220
236,202009252200,16,23
237,202009252200,4,495
238,202009252200,1,25890
239,202009271000,32,1
240,202009271000,4,99
241,202009271600,32,2
242,202009271800,4,84
243,202009200300,256,6
244,202009211600,128,3
245,202009212100,4,5696
246,202009221600,32,39
247,202009232000,8,73
248,202009240600,8,96
249,202009240600,4,298
250,202009230800,128,3
251,202009260300,128,2
252,202009260300,16,56
253,202009280400,1,10836
254,202009280600,1,28071
255,202009200500,8,7561
256,202009201100,4,1148
257,202009250500,256,1
258,202009250500,128,2
259,202009250500,4,271
260,202009261300,8,79
261,202009201400,16,13
262,202009210600,8,179
263,202009210600,2,2582
264,202009210900,8,1078
265,202009230900,128,5
266,202009230900,64,10
267,202009280200,128,11
268,202009280200,16,83
269,202009201500,4,77
270,202009201800,32,1
271,202009201800,8,29
272,202009202000,4,105
273,202009210500,16,15
274,202009210500,2,892
275,202009231700,8,216
276,202009251600,4,583
277,202009251900,32,2
278,202009251900,16,20
279,202009251900,2,961
280,202009261900,4,65
281,202009211500,4,3142
282,202009211700,64,12
283,202009212300,4,2645
284,202009220100,16,320
285,202009221000,64,10
286,202009221700,4,1202
287,202009230000,32,15
288,202009230000,16,32
289,202009240800,8,281
