SNAP_TIME,CPU used by this session,db block changes,elapsed,execute count,logons cumulative,parse count (hard),parse count (total),parse time cpu,physical read total bytes,physical write total bytes,redo size,session logical reads,sorts (disk),user calls,user commits
202009232300,0,0,3564,0,0,0,0,0,0,0,0,0,0,0,0
202009240000,0,0,3621,0,0,0,0,0,0,0,0,0,0,0,0
202009240100,566065,17863886,3562,39530917,937,374,47455,109,392084224512,86685684224,3186621836,825914950,21,48140679,184293
202009240200,673704,40102091,3621,53406794,1197,553,287862,478,507918252544,70291938816,7058792308,1242463420,3,58767361,446723
202009240300,380755,21054036,3618,30229557,2005,663,4787245,2173,421470214144,114983192576,3940264848,706016417,0,36450022,272241
202009240400,237091,57669604,3556,14029887,1324,257,26940,85,228876311040,71206991360,9999573572,546051292,1,13723592,405670
202009240500,1512994,542701423,3633,171272600,5407,504,45566,190,1185285702656,735431535616,97741049912,2506547753,6,170468801,748302
202009240600,1553297,658662370,3572,182139200,5827,347,43283,231,914255372288,841642806272,121295051820,2871123702,0,182369710,580272
202009240700,1521483,301429142,3631,160897364,872,121,15522,50,831005792768,401976238592,48272998120,2815032018,0,165105209,578411
202009240800,1033473,189216534,3568,102415439,659,71,14882,39,518302991360,275953844224,30217688372,1793164580,0,104746401,439822
202009240900,1242355,65723519,3628,116380987,2358,123,25828,96,688580536832,205307012608,15625065488,1483566369,0,117071288,805851
202009241000,1657284,91189122,3621,39284836,1722,311,198933,279,274304591872,99494231552,13954351912,6009209376,2,39120173,409458
202009241100,1719541,101135292,3559,43160410,565,181,8836267,3562,160893902848,90871189504,15564101040,6362694533,0,52389454,476951
202009241200,1555959,142048376,3621,73779041,607,312,34780339,13702,214333162496,208317077504,23528579616,4782604740,0,111294971,742347
202009241300,838123,104316592,3619,74821781,2723,173,30020801,14784,226985094144,241669796864,25808410132,1018591810,0,96509465,6427235
202009241400,914345,120192009,3560,79061655,553,1140,23317261,13568,248573335552,210059832320,30429031584,1061017228,0,91515038,7397623
202009241500,890034,130481576,3620,75882266,594,218,18973531,12040,310146926592,297464003584,33283526996,973439900,0,81848866,8097133
202009241600,1037668,63769303,3627,153378589,1355,192,8580548,5547,412792814592,181044435456,15528007936,1270481609,0,156683102,3828147
202009241701,1158455,27401964,3567,125373285,1417,131,3528864,3505,449750909440,60609646080,6430447240,2335228918,0,137852797,475635
202009241800,109331,7406601,3615,6242693,543,40,6220924,2987,87062461440,12275289088,1653566832,242408897,0,14626661,11542
202009241900,15211,118669,3614,16327,549,35,6915,14,88911000576,2845188096,42582944,12918924,0,4749,107
202009242000,20185,114856,3555,8062,542,2,5974,18,91450081280,356541440,42150332,13425331,0,4623,42
202009242100,7236,96591,3614,8157,543,2,6016,5,91393744896,341592064,35839528,13370110,0,4664,42
202009242200,21381,197190,3615,18026,547,665,9938,43,71810064384,602858496,57412264,18091518,0,4683,288
202009242300,68363,636342,3615,61012,547,9013,32009,480,124497167360,3417147392,199230584,150367220,0,16145,1077
202009250000,43658,143183,3558,60867,563,292,9738,22,71494893568,399068160,45319804,549711684,0,4673,3332
202009250100,52206,195922,3618,79532,581,282,10507,80,83789999104,646511616,59407804,659718183,0,4814,4051
202009250200,38832,150444,3618,60211,570,207,9308,27,70489440256,415877120,48968008,550799754,0,4762,3327
202009250300,24746,104324,3556,8218,539,14,6057,5,93648945152,376923136,37791588,17271770,0,4611,40
202009250400,19240,190838,3617,8828,554,2,6449,8,81380794368,472354816,58337816,16110314,0,4707,47
202009250500,12338,126580,3617,14848,554,23,6564,10,87786711040,639706112,45521808,16692449,0,4748,101
202009250600,15903,124919,3617,8342,548,6,6138,14,94090870784,402879488,45236600,17466021,0,4866,43
202009250700,16088,103335,3554,9303,544,2,6024,5,80838492160,373330944,37582164,15725085,0,4699,35
202009250800,445335,200818,3618,90207,20448,1240,36830,316,570881056768,803069952,65452892,83267606,0,104750,602
202009250900,2966034,530104,3574,447810,75808,2759,142800,1080,3135966775808,909661585,104049524,425784231,0,381204,3660
202009251000,3508619,820215,3642,97622,21800,306,40002,221,2407960707072,1046989824,148506060,315094170,0,110642,718
202009251100,1836940,365727,3568,149469,36151,1020,61105,446,2078653318144,701744128,78748172,307653648,0,183075,1130
202009251200,10203,245216,3619,22992,563,36,9716,15,124095566848,1111066624,72295088,141329669,0,4572,3780
202009251300,10049,174347,3619,11344,552,37,8944,13,132848541696,656904192,58043308,163136012,0,4630,71
202009251400,11165,143953,3560,37123,543,76,9571,22,117483633664,573945856,44124940,143248696,0,14260,342
202009251500,16302,236944,3620,32538,561,24,9560,12,122137281024,686921216,76104296,137048041,0,9790,374
202009251600,12286,184217,3619,26307,569,57,10549,32,123899218432,525877248,59132792,121430055,0,7116,244
202009251700,12195,126270,3560,16032,545,59,9091,23,143555324928,584749056,44866220,194044771,0,3258,113
202009251800,8700,198541,3619,16306,555,23,9305,18,140423900672,646071808,66723856,171833867,0,3203,129
202009251900,7456,162983,3618,16628,561,23,9639,21,145649163264,523773952,56090616,168487985,0,3243,125
202009252000,382705,109259,3558,9030,536,2,8278,16,113963483136,398328832,38335760,159184022,0,141945,60
202009252100,13209,208515,3617,9568,564,2,8887,12,86011822080,581009408,73443108,13750264,0,3199,53
202009252200,20613,165902,3617,15731,565,153,10946,862,87244054528,508050432,57763032,35617367,0,3191,346
