SNAP_TIME,CPU used by this session,db block changes,elapsed,execute count,logons cumulative,parse count (hard),parse count (total),parse time cpu,physical read total bytes,physical write total bytes,redo size,session logical reads,sorts (disk),user calls,user commits
202010062300,0,0,3564,0,0,0,0,0,0,0,0,0,0,0,0
202010070000,0,0,3625,0,0,0,0,0,0,0,0,0,0,0,0
202010070100,6929,200518,3622,263509,1312,1890,33251,859,1318861312,298864128,30519980,8839167,0,8891,485
202010070200,3352,123136,3563,207679,1328,735,19184,139,313218560,138709504,20173884,3190232,0,46524,9064
202010070300,3800,236957,3623,241944,1288,73,16943,160,305096192,271232512,41733744,3736630,0,102461,21664
202010070400,2868,45110,3564,166278,1206,39,15246,240,214145024,109377536,5001812,2909614,0,8535,34
202010070500,4344,70159,3635,196617,1241,1308,24791,714,1250074112,215906304,10290804,3098820,0,10153,143
202010070600,6972,781246,3569,263206,1298,523,18502,148,2517769216,2404890624,398890240,5010948,0,213398,12767
202010070700,2856,58636,3628,168849,1256,71,15485,79,481982464,196943872,7509848,3024115,0,9150,45
202010070800,3749,57173,3622,185237,1268,275,19816,456,1541323776,179288064,7547864,2998633,0,11630,142
202010070900,2882,48395,3564,173498,1212,54,16158,96,244200448,113956864,5544436,2947911,0,8847,131
202010071000,3319,54943,3625,185919,1256,111,19370,107,947781632,177723904,7242988,2995017,0,11385,141
202010071100,3351,358807,3565,179504,1287,362,19813,162,519206400,307198464,47985496,3402935,0,9688,138
202010071200,3081,55126,3632,183675,1318,61,18590,43,765673984,187429888,7358652,3147270,0,11635,137
202010071300,2509,45615,3562,165601,1185,23,15070,45,286392832,103283200,4991212,2816182,0,8682,33
