SNAP_TIME,CPU used by this session,db block changes,elapsed,execute count,logons cumulative,parse count (hard),parse count (total),parse time cpu,physical read total bytes,physical write total bytes,redo size,session logical reads,sorts (disk),user calls,user commits
202009092300,0,0,3550,0,0,0,0,0,0,0,0,0,0,0,0
202009100000,0,0,3610,0,0,0,0,0,0,0,0,0,0,0,0
202009100100,227624,89996137,3608,4103902,2263,5396,824855,11269,356237321728,128946672640,13688603388,367907099,0,2301804,39694
202009100200,381299,40459063,3609,6842618,2692,4408,1328278,5025,641121102848,57157518858,10256103300,2279619982,2,6275703,212607
202009100300,468074,70474063,3609,6405299,2698,16880,1068473,16551,763440297472,118944434314,16823455880,2683291910,1,4605384,181820
202009100400,520280,151852081,3611,5855304,2796,5647,1130781,5257,942048649728,278940286976,32039846212,2775424562,1,4562878,210733
202009100500,384016,21261354,3549,5546096,2093,767,921109,1962,899162226688,69326608384,1899120572,2578002674,0,15154440,190595
202009100600,378664,17195552,3610,6254031,2272,1196,1154414,2347,653679779840,32215723520,3008738556,2667773423,26,15833717,223678
202009100700,701189,27046019,3611,10348773,3143,14031,1907205,17947,1020571724800,86036019700,5777066456,3408516257,424,18347707,330235
202009100800,1390202,136266713,3616,30653196,9611,52574,5254582,77266,1779075706880,229765539937,24562572116,3806565848,724,36672238,707560
202009100900,1741405,147611370,3566,42551520,9890,72208,9724728,109109,1418098765312,241304315340,33400339688,3484657142,636,54698223,1200746
202009101000,1991531,263227711,3625,49933009,12237,76036,14432960,106286,1267901702656,408826893824,80178505420,3776386516,568,57102371,1349296
202009101100,1886922,167008519,3569,42824518,11422,71970,10377529,97014,1027560622080,294658863616,44123025964,3010877981,776,51009320,1172929
202009101200,1496454,126060123,3627,36586769,7280,36100,8195672,57766,1006817300480,298069712384,25542163224,3070432343,418,43920791,1123206
202009101300,1453983,95124173,3623,31123300,7458,40711,6680988,66579,1078100720640,171642101248,18924541000,3114461999,643,39782732,900349
202009101400,2264563,108839555,3573,35716260,10497,66419,7755891,89079,848402592768,196487201792,22392680296,2574208970,705,42264251,1023690
202009101500,1534223,105415562,3575,34540192,9668,92478,7666553,100371,678477807104,182134136320,21800699652,2304919778,608,41076621,997241
202009101600,1341645,194178792,3626,47486402,7021,65658,12293670,95648,693769626112,219472998400,40558617104,3193122125,156,50222743,1620611
202009101700,803149,85105270,3611,22430491,4458,21831,5425279,48827,794277003776,89772196352,16928513900,3664178613,32,22639325,794632
202009101800,740768,60655213,3613,19222372,12211,30770,4355577,38847,923301090816,75343898112,11868798884,3432791819,0,14841030,600897
202009101900,579279,48083399,3552,13565001,2506,6958,3342595,9555,812580893184,51878088704,9452672536,2664377557,2,12742494,512306
202009102000,727444,213837855,3611,18943972,4450,4372,9741177,16728,824173771776,343935579136,84925773384,3306739525,0,12285773,527974
202009102100,493950,46634775,3610,12534375,2548,7636,3300278,8849,935577025024,51252356096,9068108412,2752531163,0,12499056,505345
202009102200,698018,42298747,3612,11141947,2377,7777,2757703,13617,800560621056,43405883041,7917443420,2835059072,0,9316630,397945
