SNAP_TIME,CPU used by this session,db block changes,elapsed,execute count,logons cumulative,parse count (hard),parse count (total),parse time cpu,physical read total bytes,physical write total bytes,redo size,session logical reads,sorts (disk),user calls,user commits
202009232300,0,0,3609,0,0,0,0,0,0,0,0,0,0,0,0
202009240000,0,0,3608,0,0,0,0,0,0,0,0,0,0,0,0
202009240100,7062,66137,3607,71525,286,2808,22305,1204,8949210112,7406154752,12821280,2801429,0,1654,754
202009240200,14526,203721,3607,131232,303,4090,58848,3515,5228460544,4073472512,34182780,5345667,0,2278,2142
202009240300,617,18642,3608,10835,265,257,5386,15,234995712,92471296,6266384,112530,0,1424,159
202009240400,536,17661,3607,4682,268,2,4139,8,268678144,129698816,6092676,88005,0,1441,159
202009240500,1331,19462,3607,30275,305,548,7050,239,1096374784,226466816,6517988,213769,0,3444,217
202009240601,969,698068,3548,8621,275,274,6175,24,826319872,570966016,108060412,793672,0,4740,161
202009240700,12751,1688079,3607,5865801,273,1098,18117,69,3181026816,1315886592,320978616,28154484,0,7130,1157
202009240800,10142,2216048,3614,4293408,259,193,9280,147,2193185280,1512973824,367664008,22192052,0,6983,1251
202009240900,11659,2019555,3617,4252568,267,176,8886,101,2346697216,1395724800,341308056,23029772,0,6805,1313
202009241000,11638,1267453,3555,5215926,276,422,12442,46,3393325056,975675392,234092340,25877842,0,9350,2251
202009241100,46090,2511472,3614,11089684,249,263,14023,47,22436779520,6264522240,1195635756,150474664,9,10119,2727
202009241200,1740,343456,3613,93396,292,274,6925,62,3046832640,380278784,74989960,2451217,0,2641,243
202009241300,22421,2390076,3615,14027650,262,328,10642,71,2762593280,1638373376,408579080,47325346,0,7657,1145
202009241400,4652,1128186,3616,792092,268,50,7932,20,866753536,797850624,189588076,7801222,0,7453,2175
202009241500,6406,2286526,3554,2026741,262,33,6692,24,1683261952,1610222080,414812396,16085282,0,6228,501
202009241600,11918,2672432,3610,5846147,272,94,9604,30,2276956672,1818622464,448409608,28903156,0,7120,1182
202009241700,30332,1521123,3611,18180075,250,93,13434,25,2987721728,1194625024,279716004,75896956,0,15337,4115
202009241800,771,422506,3612,27030,275,20,4978,7,522543616,287884800,58203992,649531,0,1508,223
202009241900,675,20879,3612,26696,270,20,4677,6,378344448,134878208,6791184,214411,0,1450,217
202009242000,862,10773,3551,8886,307,130,7511,13,42575292416,439771648,3453216,88485,0,9776,156
202009242100,1331,19962,3610,7180,271,203,5399,61,279191552,98764800,6618040,247605,0,1445,161
202009242200,6924,842327,3609,141232,270,2841,27016,513,5960929280,652154880,132663944,5990197,0,1419,2308
202009242300,85293,1063707,3608,74468,292,833,11179,127,63250233856,24689432064,4037541740,332278196,20,2737,325
202009250000,1330,303588,3608,17574,298,597,10094,50,4682030080,498771456,48962032,442075,0,7466,216
202009250100,7139,66649,3607,73480,287,3018,22825,1200,8952896512,7406621696,12947976,2812976,0,1689,753
202009250200,15468,209306,3607,134593,305,4336,60406,3559,5219331072,4072085504,34470188,5354291,0,2286,2142
202009250300,491,14665,3547,10664,263,251,5260,24,226795520,87799808,3937508,88149,0,1386,153
202009250400,598,22922,3608,4760,268,2,4220,1,276177920,135322624,8522448,110686,0,1437,162
202009250500,1018,17955,3606,28691,286,368,5937,200,716208128,150145536,6219044,209293,0,2172,217
202009250600,1848,1151223,3607,17761,297,1021,11435,47,1613234688,955449856,187849104,2289529,0,6707,185
202009250700,2463,908619,3607,636200,272,234,7757,33,1504897024,683949056,160573096,5108915,0,2988,368
202009250800,18412,2599778,3611,9878843,271,882,15482,227,3375291392,1865025536,476492328,45776439,0,11417,1751
202009250900,28754,3333830,3614,15421238,240,201,12285,99,3919899136,2206903808,548526932,65261685,0,10350,2305
202009251000,3821,1387346,3552,759233,275,290,7423,41,2056283648,1040455168,249395556,8667447,0,4356,362
202009251100,41028,3238411,3613,7516465,267,337,13453,46,20204872192,6879190528,1348296612,139275903,9,12740,2540
202009251200,37603,1936757,3608,20716582,277,410,19874,97,6023949824,1394099200,335203548,86638522,0,22046,6767
202009251300,15372,727168,3607,8730147,267,79,8734,31,1849618944,536196608,117285208,34123275,0,5705,1328
202009251400,2845,659199,3609,1031476,268,41,5398,15,1173415424,462804480,108148152,5323041,0,2122,249
