SNAP_TIME,CPU used by this session,db block changes,elapsed,execute count,logons cumulative,parse count (hard),parse count (total),parse time cpu,physical read total bytes,physical write total bytes,redo size,session logical reads,sorts (disk),user calls,user commits
202009302330,0,0,1812,0,0,0,0,0,0,0,0,0,0,0,0
202010010000,0,0,1813,0,0,0,0,0,0,0,0,0,0,0,0
202010010030,672288,16750842,1754,33818515,1654,63705,191011,26470,660297722880,33407713792,3037082580,670627858,2,37426505,224075
202010010100,364762,7132261,1812,33132249,1008,616,102630,250,406373224960,29486730240,1265480816,561577196,1,36857364,135797
202010010130,400219,7758747,1812,30599820,1104,1008,3515243,1632,679920087552,67082800640,1546017564,568643451,0,37276037,103943
202010010200,180038,3321957,1811,10183648,654,444,24327,61,367071603712,116985762304,562439172,502716100,0,11104114,22604
202010010230,270934,7502713,1812,5961593,916,337,23624,220,526061421568,9695258624,1099857004,560688372,0,5078656,195087
202010010300,122037,2551063,1750,7659971,751,84,17762,34,324304020480,4373205504,398422572,113583307,0,7721708,20909
202010010330,214681,41557296,1813,13665635,1551,94,27069,77,527761077760,36740441600,7013595632,321874659,1,13304474,262862
202010010400,232997,17659866,1811,9414567,1147,104,34762,51,595111547392,44039656960,3155647344,333683470,0,9481676,206224
202010010430,159951,37437229,1813,11925723,1194,219,32344,78,269708498432,42106283008,6680060660,167862898,1,11735405,251531
202010010500,686750,53906511,1811,57090664,1687,393,42215,260,861812521984,65729523200,8762828108,832794855,8,55911125,185193
202010010530,385679,294281,1751,37818910,1228,207,26085,229,355679596032,698430053,35554572,439491512,0,37380498,9704
202010010600,579135,8460610,1812,12050571,2453,2997,77104,3704,2215729399808,222458234368,1140974504,457841912,8,12876630,2741
202010010630,446249,11019973,1812,4023413,2901,414,45405,284,1517565347840,42860361216,2022026740,217869592,16,4276968,17577
202010010700,155078,26713065,1813,5519813,3635,803,65100,782,310625026560,37933668864,8368305568,117455682,0,7090990,63661
202010010730,207399,7746808,1810,9892991,4223,2405,129777,555,1395633711104,68261201920,1340243224,179676554,1,12937923,120222
202010010800,292442,1774867,1752,14122750,6719,1017,239732,1570,1125463334912,70661255680,261674044,257434544,7,16400782,42095
202010010830,319095,2669193,1811,22933550,6587,2602,249480,17370,1617848742400,17011504640,440070100,362337622,2,23287759,63853
202010010900,394564,3099551,1812,26664982,7244,4203,178904,29408,830092370432,13856185344,505741680,645992394,7,27624732,69670
202010010930,450612,3643218,1811,30840027,8052,4961,183973,35283,950125255168,16111707136,600709772,683871036,7,31567469,78295
202010011000,423846,3306835,1813,29069979,9053,4998,198960,35867,1050471455744,13561794560,526584536,1471325602,1,29871062,73105
