SNAP_TIME,CPU used by this session,db block changes,elapsed,execute count,logons cumulative,parse count (hard),parse count (total),parse time cpu,physical read total bytes,physical write total bytes,redo size,session logical reads,sorts (disk),user calls,user commits
202009172300,0,0,3603,0,0,0,0,0,0,0,0,0,0,0,0
202009180000,0,0,3603,0,0,0,0,0,0,0,0,0,0,0,0
202009180100,23820,254355,3603,159499,419,2982,30650,533,110855231488,673979904,54495272,17149873,0,368411,12325
202009180200,25724,2006595,3603,163374,338,2927,29737,459,135423270912,951699456,405590392,20484334,0,405576,11614
202009180300,34633,4211448,3603,1260713,281,3531,39771,1277,144633494016,8678524416,923818124,37243008,0,374197,12341
202009180400,32581,815604,3603,378575,212,22988,92281,2268,147262201856,7278736384,131573284,30781340,0,739241,16124
202009180500,22118,167510,3603,165565,187,2899,27218,418,132069132800,408427520,35258788,19747126,0,401255,11921
202009180600,22099,198236,3603,159370,187,2997,27487,416,132849885184,266264576,41726420,19208297,0,402997,13130
202009180700,23910,285203,3603,193911,267,3951,30584,602,134604947456,402210816,58760516,19892496,0,487905,15355
202009180800,30814,571889,3603,361682,1375,7104,59065,991,155222512128,944319488,113343500,24835974,0,884119,23649
202009180900,34562,752117,3604,428052,2256,9124,71559,1191,242149675520,1213751296,156538128,37817895,0,1078093,31855
202009181000,34509,769402,3603,429112,1717,11135,70271,1607,166541876736,1124258816,159712140,33399757,0,1089607,29996
202009181101,32321,868830,3543,433047,1545,7445,59698,1049,252035206144,1560868352,190773756,37519508,0,1085030,37482
202009181200,28832,623804,3603,381381,1650,4578,51919,728,178472906240,1140983808,133933344,26357813,0,909199,28113
202009181300,29883,677838,3603,382356,1977,8328,64083,1051,185465602048,955566080,145668352,27086326,0,955337,28695
202009181400,33424,675630,3604,422221,1841,5915,60349,871,214787038720,1457010688,147301988,33788756,0,1060558,29698
202009181500,31508,692461,3602,424639,1969,5792,63036,785,217961435648,1239340032,149441448,34108648,0,1050251,29781
202009181600,37202,6190645,3604,513392,4163,69578,154308,2821,201554982400,4660008960,1227599160,56174017,0,1073708,30467
202009181700,40314,876994,3603,472252,4699,7767,101720,920,368278553088,1624690688,208174036,52205137,0,1124046,37301
202009181800,36557,726306,3603,407663,5559,5502,105296,768,296132569600,1229193216,168877364,42183380,0,969910,39431
202009181900,27142,423038,3603,348973,1468,3033,46346,709,135239057920,785674240,91917380,21138702,0,792113,25155
202009182000,27142,390296,3604,251663,213,2967,27372,699,141897359360,613430272,86448240,20598042,0,602187,20245
202009182100,33835,414858,3604,332876,255,4349,29572,2166,390374599680,4321048576,88362760,25216581,0,513014,19838
202009182200,93793,1199041,3604,452939,255,64668,110696,8800,254621597696,1723082752,255658608,69284117,0,857356,21206
