,TABLE_NAME,CONSTRAINT_NAME,COLUMNS
0,ENTITE_RAT,FK_ENTITE_RAT_IDGROUPEMENT,GRP_CODE_GROUPEMENT
1,ABONNEMENTS,FK_ABONNEMENTS_IDEDITION,EDT_ID
2,POPULATION,FK_POPULATION_IDCATEGORIE,CAT_ID
3,MUTUELLE,FK_MUTUELLE_IDENTITE_RAT,RAT_CODE_ENTITE_RAT
4,ROLE,FK_ROLE_IDTYPE_ROLE,TRO_ID
5,POPULATION,FK_POPULATION_IDMUTUELLE,MUT_NUMERO
6,POPULATION,FK_POPULATION_IDSOUS_CATEGORIE,SCA_ID
7,MATRICE_ROLE,FK_MATRICEROLE_IDROLE,ROL_ID
8,MATRICE_ROLE,FK_MATRICE_ROLE_IDMUTUELLE,MUT_NUMERO
9,ABONNEMENTS,FK_ABONNEMENTS_IDPOPULATION,POP_ID
10,SOUS_CATEGORIE,FK_SOUS_CATEGORIE_IDCATEGORIE,CAT_ID
