,TABLE_NAME,CONSTRAINT_NAME,COLUMNS
0,DOSSCONV,FK_DOSSCONV_IDETAP,IDETAP
1,UTIL,FK_UTIL_REFERENCE_ROLE,IDROLE
2,CTCT,FK_CTCT_IDNATCTCT,IDNATCTCT
3,LOCCOMMUNE,FK_LOCCOMMUNE_IDCOMMUNE,IDCOMMUNE
4,SPECIFTIERS,FK_SPECIFTIERS_IDMODDEC,IDMODDEC
5,INFOBQ,FK_INFOBQ_IDSPECIFTIERS,IDSPECIFTIERS
6,GRP,FK_GRP_IDORGGEST,IDORGGEST
7,CTCT,FK_CTCT_IDUTIL,IDUTIL
8,MAJ,FK_MAJ_IDORG,IDORG
9,MAJ,FK_MAJ_FK_MAJ_SO_SOUSOBJE,IDSOUSOBJET
10,ORG,FK_ORG_IDTYPORG,IDTYPORG
11,SPECIFCONV,FK_SPECIFCONV_IDORG,IDORG
12,DOSSCONV,FK_DOSSCONV_IDMOTIFCONV,IDMOTIFCONV
13,SPECIFTIERS,FK_SPECIFTIERS_IDORG,IDORG
14,INFOBQ,FK_INFOBQ_IDBQ,IDBQ
15,GRP,FK_GRP_IDADR,IDADR
16,TIERSGRP,FK_TIERSGRP_IDGRP,IDGRP
17,SPECCONV,FK_SPECCONV_IDSPECSS,IDSPECSS
18,TIERS,FK_ADR_IDTIERS,IDADR
19,TIERS,FK_TIERS_IDSECTCONV,IDSECTCONV
20,SPECIFTIERS,FK_SPECIFTIERS_IDPCITEDEC,IDPCITEDEC
21,CTCT,FK_CTCT_IDORG,IDORG
22,MAJ,FK_MAJ_IDGRP,IDGRP
23,CONV,FK_CONV_IDNATCONV,IDNATCONV
24,ADHCONV,FK_ADHCONV_IDGRP,IDGRP
25,SPECIFTIERS,FK_SPECIFTIERS_IDTELETRANS,IDTELETRANS
26,TIERSGRP,FK_TIERSGRP_IDTIERS,IDTIERS
27,MAJ,FK_MAJ_IDTIERS,IDTIERS
28,CONV,FK_CONV_IDSIGNORG,IDSIGNORG
29,ADHCONV,FK_ADHCONV_IDTIERS,IDTIERS
30,ADHCONV,FK_ADHCONV_IDCONV,IDCONV
31,COMMUNE,FK_COMMUNE_IDPAYS,IDPAYS
32,TIERS,FK_TIERS_IDMOTIFFIN,IDMOTIFFIN
33,SPECIFTIERS,FK_SPECIFTIERS_IDTIERSDESTDEC,IDDESTDEC
34,GRP,FK_GRP_IDTYPTIERS,IDTYPTIERS
35,CTCT,FK_CTCT_IDGRP,IDGRP
36,GRPORG,FK_GRPORG_IDORGFILLE,IDORGFILLE
37,DOSSCONV,FK_DOSSADH_IDADHCONV,IDADHCONV
38,TIERS,FK_TIERS_IDTYPTIERS,IDTYPTIERS
39,TIERS,FK_TIERS_IDSPECSS,IDSPECSS
40,TIERS,FK_TIERS_IDENTITEHOSP,IDENTITEHOSP
41,INFOBQ,FK_SPECIFTIERS_IDMODRGLTPREST,IDMODRGLTPREST
42,GRP,FK_GRP_IDSPECSS,IDSPECSS
43,CTCT,FK_CTCT_IDTIERS,IDTIERS
44,CTCT,FK_CTCT_IDACTCTCT,IDACTCTCT
45,CONV,FK_CONV_IDSPECCONV,IDSPECCONV
46,SPECIFCONV,FK_SPECIFCONV_IDCONV,IDCONV
47,DOSSCONV,FK_DOSSCONV_IDORIGDEM,IDORIGDEM
48,TIERS,FK_TIERS_IDTITCIVIL,IDTITCIVIL
49,SPECIFTIERS,FK_SPECIFTIERS_IDTIERS,IDTIERS
50,SPECIFTIERS,FK_SPECIFTIERS_IDBLOCG,IDBLOCG
51,INFOBQ,FK_SPECIFTIERS_IDTIERSDESTPAY,IDDESTPAY
52,CTCT,FK_CTCT_IDTYPCTCT,IDTYPCTCT
53,MAJ,FK_MAJ_IDUTIL,IDUTIL
54,DETAILACC,FK_DETAILACC_IDACCTRF,IDACCTRF
55,GRPORG,FK_GRPORG_IDORGMERE,IDORGMERE
56,CONV,FK_CONV_IDTYPCONV,IDTYPCONV
57,LOCCOMMUNE,FK_LOCCOMMUNE_IDLOC,IDLOC
58,ADR,FK_ADR_IDLOCCOMMUNE,"IDLOC,IDCOMMUNE"
59,CTCT,FK_CTCT_IDORIGDEM,IDORIGDEM
60,MAJ,FK_MAJ_IDCONV,IDCONV
