,TABLE_NAME,CONSTRAINT_NAME,COLUMNS
0,HSP_PLANNING_UNIT,FK_TASK_LIST_ID,REPORT_ID
1,HSP_PLANNING_UNIT,FK_HSP_PU_OWNID,OWNER_ID
2,HSP_CELL_NOTE_ITEM,FK_HSP_CNI_AUTID,AUTHOR_ID
3,HSP_FORM_DV_RULE,FK_HSP_DV_RL_FORM,FORM_ID
4,HSP_MBR_SELECTION,FK_HSP_SEL_DIM,REQUIRED_DIM_ID
5,HSP_HEALTHCHECK_CRITERIA,FK_HSP_HLTHCHK_CRI_STS,CHECK_ID
6,HSP_CALENDAR,FK_HSP_CAL_TPID,CURRENT_TP
7,HSP_USERSINGROUP,FK_HSP_UIG_UID,USER_ID
8,HSP_CHECKOUTS,FK_CHKOUT_FRMS,FORM_ID
9,HSP_ENUM_EVALUATION,FK_ENUM_DIMID,DIM_ID
10,HSP_CUBE_LINK,FK_HSP_CL_COLDIMID,COLUMN_DIM_ID
11,HSP_CUBE_LINK_DIMMAPS,FK_HSP_CLDM_DIMID,DIM_ID
12,HSP_FORM_DV_USER_IN_PM_RULE,FK_HSP_DV_PMUSR_RL,PM_RULE_ID
13,HSP_ADHOC_OPTS,FK_ADHOC_ALSTBL,ALIAS_TABLE_ID
14,HSP_OBJECT_NOTE,FK_HSP_OBJ_NOTE_AUTID,AUTHOR_ID
15,HSP_HEALTHCHECK_STATUS,FK_HSP_HLTHCHK_STS_UID,USER_ID
16,HSP_JOB_STATUS,FK_HSP_JOB_ST_UID,USER_ID
17,HSP_FX_TABLE,FK_HSP_FXTBL_CALID,CALENDAR_ID
18,HSP_FORMOBJ_DEF_MBR,FK_HSP_FDEFMBR_MID,MBR_ID
19,HSP_PM_RULES,FK_HSP_RULES_FRMST,FROM_STATE_ID
20,HSP_USER_VARIABLE_VALUE,FK_HSP_UVARV_USR,USER_ID
21,HSP_PM_PRIMARY_MEMBER,FK_HSP_PM_SEC_DIM,SECONDARY_DIM_ID
22,HSP_PM_OUT_OF_OFFICE,FK_HSP_OUTOF_ACTID,ACTION_ID
23,HSP_DP_DIMENSION,FK_DP_DIM_SCEN_ID,SCENARIO_ID
24,HSP_DP_TYPE_MAPPING,FK_DPTYPEMAPPING_CUBELINKID,CUBE_LINK_ID
25,HSP_DP_TYPE_ATTRIBUTE,FK_HSP_DP_TYPE_ATT_ATTID,ATTRIBUTE_ID
26,HSP_MEMBER_TO_ATTRIBUTE,FK_HSP_M2A_ATMBRID,ATTR_MEM_ID
27,HSP_PLANNING_UNIT_LOG,FK_HSP_PU_NEW_OWID,NEW_OWNER_ID
28,HSP_PM_RULES,FK_HSP_RULES_ACTID,ACTION_ID
29,HSP_FORM_VARIABLES,FK_HSP_FVFRMID,FORM_ID
30,HSP_CUBE_LINK,FK_HSP_CL_PLANTYPE,PLAN_TYPE
31,HSP_CUBE_LINK_DIMMAPS,FK_HSP_CLDM_EID,ENUMERATION_ID
32,HSP_ACCOUNT_DESC,FK_HSP_ACTD_VID,VERSION_ID
33,HSP_PLANNING_UNIT_LOG,FK_HSP_PU_LOG_AID,AUTHOR_ID
34,HSP_PLANNING_UNIT_LOG,FK_PATH_NODE_ID,PATH_NODE_ID
35,HSP_MBR_SELECTION_ITEM,FK_HSP_SEL_ITM_SEL,SEL_ID
36,HSP_DP_TYPE_QUERY,FK_DPTYPE_QRY_DPTYPEID,DP_TYPE_ID
37,HSP_DP_TYPE_QUESTION,FK_DPTYPE_QUES_DPTYPEID,DP_TYPE_ID
38,HSP_DP_REVIEWER,FK_HSP_DP_REVIEWER_USER_ID,REVIEWER_ID
39,HSP_FX_RATE_VALUES,FK_HSP_FXVALS_FCID,FROM_CUR
40,HSP_SCENARIO,FK_HSP_SCEN_ETPID,END_TP_ID
41,HSP_SCENARIO,FK_HSP_SCEN_SYRID,START_YR_ID
42,HSP_PLANNING_UNIT,FK_PM_PU_SEC_MBRID,SECONDARY_MEMBER_ID
43,HSP_PM_RULES,FK_HSP_RULES_TOST,TO_STATE_ID
44,HSP_WF_PREFS,FK_WFPREF_FRM,FORM_ID
45,HSP_FORM_MENUS,FK_HSP_MNUID,MENU_ID
46,HSP_FORM_DV_PM_RULE,FK_HSP_DV_PMRLSEL2,RELATED_SEL_ID
47,HSP_DP_MEMBER_ATTRIBUTE,FK_HSP_DP_MEM_ATT_ATTID,ATTRIBUTE_ID
48,HSP_DP_MEMBER,FK_DP_MBR_BR_DIM_MBR_ID,BR_DIM_MEMBER_ID
49,HSP_USER_PREFS,FK_USER_PREFS_REPO_CURR,REPORTING_CURRENCY
50,HSP_DIMENSION,FK_DRVR_DIMID,DRIVER_DIM_ID
51,HSP_ACCESS_CONTROL,FK_HSP_ACC_OID,OBJECT_ID
52,HSP_ACCOUNT_DESC,FK_HSP_ACTD_EID,ENTITY_ID
53,HSP_FORM_ATTRIBUTES,FK_FATTS_ADID,ATT_DIM_ID
54,HSP_FORM_ATTRIBUTES,FK_FATTS_DIMID,DIM_ID
55,HSP_PM_DIMENSION,FK_PM_PRM_MBRID,PRIMARY_ASCENDANT_ID
56,HSP_ALIAS,FK_HSP_ALIAS_TBL,ALIASTBL_ID
57,HSP_FORM,FK_HSP_FORM_CID,CUBE_ID
58,HSP_PLANNING_UNIT,FK_HSP_PU_POWNID,PREV_OWNER_ID
59,HSP_PLANNING_UNIT,FK_HSP_PU_ORGID,ORIGINATOR_ID
60,HSP_PM_MEMBER_OWNER,FK_PM_OWNER,PM_OWNER_ID
61,HSP_FORM_DV_CONDITION,FK_HSP_DV_COND_RL,RULE_ID
62,HSP_LINE_ITEM_MEMBER,FK_LIM_DIMID,DRIVER_DIM_ID
63,HSP_DP_SHARING_ENTITIES,FK_SHARING_ENT_ENTITY_ID,ENTITY_ID
64,HSP_EXT_XACT_DETAIL,FK_EXT_XACT_DTL_USERID,USER_ID
65,HSP_DP_SVBR_BINDING,FK_DP_SVBR_BNDG_VER_ID,VERSION_ID
66,HSP_PARTITION_AREA,FK_HSP_PART_SEL,MBR_SELECT_ID
67,HSP_ALIAS,FK_HSP_ALIAS_ALS,ALIAS_ID
68,HSP_ATTRIBUTE_DIM,FK_HSP_ADIM_DIMID,DIM_ID
69,HSP_FX_RATE_VALUES,FK_HSP_FXVALS_TCID,TO_CUR
70,HSP_SCENARIO,FK_HSP_SCEN_STPID,START_TP_ID
71,HSP_PM_RULES,FK_HSP_RULES_EFFT,EFFECT_ID
72,HSP_MRU_MEMBERS,FK_HSP_MRUMBR_DIM,DIM_ID
73,HSP_FORM_VARIABLES,FK_HSP_VARID,VARIABLE_ID
74,HSP_MEMBER_TO_UDA,FK_HSP_M2U_UID,UDA_ID
75,HSP_PM_SVDIM_BINDING,FK_PM_BNDG_HIER,PM_DIM_ID
76,HSP_CUBE_LINK,FK_HSP_CL_ESSVR_ID,ESSBASE_SERVER_ID
77,HSP_LINE_ITEM_MEMBER,FK_LIM_MBRID,LINE_ITEM_MBR_ID
78,HSP_DP_SVBR_BINDING,FK_DP_SVBR_BNDG_SCE_ID,SCENARIO_ID
79,HSP_PARTITION,FK_HSP_PART_ESSVR,TGT_SERVER_ID
80,HSP_DP_MEMBER,FK_DP_MBR_DP_TYPE_ID,DP_TYPE_ID
81,HSP_TASK,FK_HSP_TLST_ID,TASK_LIST_ID
82,HSP_ATTRIBUTE_MEMBER,FK_HSP_AMBR_ATTRID,ATTR_ID
83,HSP_SCENARIO,FK_HSP_SCEN_EYRID,END_YR_ID
84,HSP_ACCOUNT_DESC,FK_HSP_ACTD_AID,ACCOUNT_ID
85,HSP_DP_ATTRIBUTE,FK_HSP_DP_ATT_ENUM,ENUMERATION_ID
86,HSP_MEMBER,FK_HSP_MBR_DIMID,DIM_ID
87,HSP_USER_TASK,FK_HSP_UTSK_UID,USER_ID
88,HSP_FORM_DV_PM_RULE,FK_HSP_DV_PMRLSEL,APPLICABLE_SEL_ID
89,HSP_DP_TYPE_FORM,FK_DPTYPE_FORMS_FORMID,FORM_ID
90,HSP_EXT_XACT_DETAIL,FK_EXT_XACT_DTL_PLAN_UNITID,PLAN_UNIT_ID
91,HSP_LOCK,FK_HSP_LOCK_UID,USER_ID
92,HSP_MBR_SELECTION_ITEM,FK_HSP_SEL_ITM_MBR,MBR_ID
93,HSP_CUBE_LINK_DIMMAPS,FK_CLDM_MBRSELID,MEMBER_SEL_ID
94,HSP_LINE_ITEM_MEMBER,FK_LIM_MBRSELID,MBR_SEL_ID
95,HSP_EXT_XACT,FK_EXT_XACT_VERID,VERSION_ID
96,HSP_CURRENCY,FK_HSP_CRNCY_TRIID,TRIANGLE_CUR
97,HSP_ENTITY,FK_HSP_ENTY_CURID,DEFAULT_CURRENCY
98,HSP_FX_RATES,FK_HSP_FXRTES_TCID,TO_CUR
99,HSP_FX_RATES,FK_HSP_FXRTES_FCID,FROM_CUR
100,HSP_DRIVER_MEMBER,FK_DRV_MBRID,MEMBER_ID
101,HSP_DRIVER_MEMBER,FK_DRV_DIMID,DIM_ID
102,HSP_PM_DIMENSION,FK_PM_DIM_LIST_ID,PM_RULE_LIST_ID
103,HSP_FORM_DV_PM_RULE,FK_HSP_DV_PM_RL_CO,COND_ID
104,HSP_PM_OUT_OF_OFFICE,FK_HSP_OUTOF_USRID,USER_ID
105,HSP_REPORT_TEMPLATE,FK_HSP_REPORT_TEMPLATE_DEF,TEMPLATE_ID
106,HSP_HISTORICAL_JOB_STATUS,FK_HSP_HJOB_ST_UID,USER_ID
107,HSP_DP_MEMBER,FK_DP_MBR_VER_ID,VERSION_ID
108,HSP_DP_MEMBER,FK_DP_MBR_ENTITY_ID,ENTITY_ID
109,HSP_MEMBER,FK_MBR_ENUMID,ENUMERATION_ID
110,HSP_PLANNING_UNIT,FK_PM_PU_DP_MBRID,DP_MEMBER_ID
111,HSP_PLANNING_UNIT,FK_HSP_PU_VID,VERSION_ID
112,HSP_PM_SVDIM_BINDING,FK_PM_BNDG_DP_MBRID,DP_MEMBER_ID
113,HSP_PM_SVDIM_BINDING,FK_PM_VERSION,VERSION_ID
114,HSP_MBR_SELECTION_ITEM,FK_HSP_SEL_ITM_DIM,DIM_ID
115,HSP_FORM_DV_USER_IN_PM_RULE,FK_HSP_DV_PMUSR_OB,USER_ID
116,HSP_EXT_XACT,FK_EXT_XACT_SCENID,SCENARIO_ID
117,HSP_SCENARIO,FK_HSP_SCEN_FXID,FX_TBL
118,HSP_FORMOBJ_DEF_MBR,FK_HSP_FOBJDEF_EID,FORMULA_ENUMERATION_ID
119,HSP_ANNOTATION,FK_HSP_ANNOT_AUTID,AUTHOR_ID
120,HSP_USER_DIM_DISPLAY_PREFS,FK_HSP_DIM_ID,DIM_ID
121,HSP_PARTITION_AREA,FK_HSP_PAREA_PART,PARTITION_ID
122,HSP_MEMBER_TO_ATTRIBUTE,FK_HSP_M2A_ATTRID,ATTR_ID
123,HSP_FORM_MENUS,FK_HSP_FORMID,FORM_ID
124,HSP_DRIVER_MEMBER,FK_DRV_BASEID,BASE_DIM_ID
125,HSP_PM_MEMBER,FK_PMMBR_MBRSELID,VALUE_DEFN_MBR_SEL_ID
126,HSP_DP_TYPE_QUERY_MEMBER,FK_QRY_MBR_QRYID,QUERY_ID
127,HSP_OBJECT_NOTE,FK_HSP_OBJ_NOTE_OBJID,OBJECT_ID
128,HSP_EXT_XACT_DETAIL,FK_EXT_XACT_DTL_XACTID,XACT_ID
