,TABLE_NAME,CONSTRAINT_NAME,COLUMNS
0,HSS_COMPONENT,COMP_COMP_TYPES_FK_IND,COMPONENT_TYPE_ID
1,CSS_PROVISIONING_INFO,FK1_PROV_MEMTYPE,MEMBER_TYPE
2,CSS_DELEGATED_MEMBERS,CSS_DELMEM_CSS_FK1,LOWER_MEMBER_IDENTITY
3,CSS_ROLE_MEMBERS,FK1_ROLE_MEMS,LOWER_MEMBER_IDENTITY
4,CSS_USER_PREFERENCES,FK_USER_PREF,LOWER_IDENTITY_ID
5,CES_PARTICIPANT,FK_WORKFLOW_ID,WORKFLOW_ID
6,QRTZ_TRIGGERS,SYS_C0087374,"JOB_NAME,JOB_GROUP"
7,ESS_FAILOVER_LEASE,SYS_C0087386,RESOURCE_ID
8,CES_PARTICIPANT_EVENTS,FK_PARTICIPANT_ID,PARTICIPANT_ID
9,CSS_DELEGATED_MEMBERS,CSS_MEMB_CSS_FK2,MEMBER_TYPE
10,CSS_GROUP_MEMBERS,CSS_GROUP_MEMB_FK,LOWER_MEMBER_IDENTITY
11,HSS_COMPONENT_TYPES,COMP_TYPES_COMP_TIERS_FK_IND,TIER_ID
12,CSS_PROVISIONING_INFO,FK1_PROV_MEMIDEN,LOWER_MEMBER_IDENTITY
13,CSS_PROVISIONING_INFO,FK1_PROV_ROLIDEN,LOWER_ROLE_IDENTITY
14,ESS_FAILOVER_LEASE,SYS_C0087385,LEASE_OWNER_ID
