,TABLE_NAME,CONSTRAINT_NAME,COLUMNS
0,BDS_CASEMODEL_VERSIONS,FK_BDS_VERSIONS,CASEMODEL_ID
1,OPENSPACE_PREFERREDGADGETS,FK_PREF_GADGETS_APP,APPLICATION_ID
2,OPENSPACE_GADGETPREF,FK_GADGETPREF_USER_ID,USER_ID
3,BDS_DATAVIEW_CATEGORIES,FK_BDS_DATAVIEW_CATEGORIES,PARENT_ID
4,OPENSPACE_CATEGORY,FK_CATEGORY_PARENT_ID,PARENT_ID
5,OPENSPACE_USER,FK_USER_PERSONA,PERSONA
6,DE_EXTENSIONINSTANCE,DE_EXTINST_FK,PARENT_ID
7,OPENSPACE_GADGETPREF,FK_GADGETPREF_APP_ID,APPLICATION_ID
8,BDS_CASEMODEL_PACKAGE_CONTENTS,FK_BDS_PACKAGE_CONTENTS,CASEMODEL_SPEC_ID
9,WP_PRESENTATION_CHANNEL,FK_WP_PRESCHAN_WP_CHANNEL_TYPE,CHANNEL_TYPE
10,BDS_CASEMODEL_CASE_TYPES,FK_BDS_CASEMODEL_CASE_TYPES,CASEMODEL_PKG_ID
11,DE_QUERYHELD,DE_QUERYHELD2_FK,QUERY_ID
12,BDS_CASEMODEL_CLASSMAPPING,FK_BDS_CASEMODEL_CLASSMAPPING,TABLE_ID
13,BDS_CASEMODEL_REFERENCES,FK_BDS_CASEMODEL_REFERENCES,REF_CASEMODEL_ID
14,BDS_DATAVIEWS,FK_BDS_DATAVIEWS,CLASSMAPPING_ID
15,BDS_CASEMODEL_TABLEMAPPING,FK_BDS_TABLEMAPPING,CASEMODEL_ID
16,OPENSPACE_USERPREF,FK_USERPREF_USER_ID,USER_ID
17,BDS_DATAVIEW_CATEGORY_MEMBERS,FK_BDS_DC_MEMBERS_DATAVIEW,DATAVIEW_ID
18,DE_CANDIDATEQUERY,DE_CANDIDATEQUERY_FK,CONTAINER_ID
19,BDS_CASEMODEL_VERSION_CONTENT,FK_BDS_VERSION_CONTENT,CASEMODEL_VERSION_ID
