SNAP_TIME,CPU used by this session,db block changes,elapsed,execute count,logons cumulative,parse count (hard),parse count (total),parse time cpu,physical read total bytes,physical write total bytes,redo size,session logical reads,sorts (disk),user calls,user commits
202011082330,0,0,1817,0,0,0,0,0,0,0,0,0,0,0,0
202011090000,0,0,1813,0,0,0,0,0,0,0,0,0,0,0,0
202011090030,46026,113947,1757,1233307,885,184,23907,44,129061231616,242326528,14983932,196332300,0,1197863,2507
202011090100,72348,595265,1812,1190852,555,592,22189,183,236257871360,3729849856,460957172,220337367,0,1143445,2648
202011090130,49753,162384,1812,1467783,600,207,19081,50,211259920896,1039698432,30457316,83612705,0,1124621,1216
202011090200,34864,95426,1813,1122396,472,54,14982,11,221203365888,287164928,12099984,20362932,0,1114895,355
202011090230,36402,128628,1815,1166807,545,38,15620,17,188837977088,254853120,24119832,16954732,0,1159567,381
202011090300,33071,94030,1753,772909,455,79,19195,29,147897026560,825076736,11920396,10180430,1,818757,361
202011090330,39518,73369,1815,172655,535,38,13658,6,207668706304,96728064,18815692,18953847,0,160465,374
202011090400,36328,117637,1813,203009,523,39,15248,129,214135725056,218732544,22999096,20375734,0,184679,357
202011090430,40227,91461,1814,182866,472,53,12867,13,198598310912,112675840,23780512,17967188,0,170825,355
202011090500,44615,218657,1753,230582,1147,105,20132,27,205621679104,516724224,14482812,30255015,0,207282,407
202011090530,41684,105408,1817,622226,902,74,19282,74,215495639552,308629504,13212296,20872260,0,290619,417
202011090600,33286,138685,1810,420586,1139,48,22279,24,509582328320,199489024,26642484,21826647,0,410219,421
202011090630,56247,10983480,1813,1966572,1907,184,34522,212,261259109376,18975912448,4106542396,48608240,1,1922629,19804
202011090700,87229,5534829,1816,5058758,2388,1050,47518,451,290308972032,10586772480,959332884,111805408,2,7890470,66037
202011090731,141897,1750269,1754,9776566,2981,867,69028,160,293380817920,62387676160,305285652,143187848,1,10049794,42510
202011090800,241489,2726736,1813,16934813,4085,856,107398,1239,828120517632,22157299712,463824920,306351826,0,17442869,63663
202011090830,392368,2926750,1810,23115969,6228,2658,248047,15436,1615812711424,41748009984,482118364,443212272,3,23560449,66598
202011090900,321838,3286865,1809,29160526,6654,4089,165014,27866,631182668800,6273986048,520134400,445838476,0,29977585,75857
202011090930,357571,2914824,1810,28152005,7353,5316,175741,34428,755114847744,10172703232,494491496,450681860,0,28599612,69825
202011091000,456205,3109223,1750,27642972,8740,5267,199648,37567,1356381628928,13028764672,477273868,560102583,0,28380541,67205
202011091030,469632,6824571,1812,35054176,8626,6755,217400,44152,1291380408320,26064405504,1186637284,603920302,1,35807004,143382
202011091100,511427,26027503,1813,39440872,12756,5825,269667,38172,1679722416640,28105125376,4642624264,747739392,0,40286073,175065
202011091130,466825,18893407,1812,40366810,10217,6302,256646,39986,1136870209024,24078546432,3542922552,622429679,0,40754072,227258
202011091200,451084,15040639,1813,29877566,9302,3856,211856,28075,1256532079104,20815104000,2965941564,584787023,0,30415564,225889
202011091230,330654,14443783,1752,24261773,8946,2944,202407,16840,887947244032,27624880128,2887182764,402130423,1,24195103,211719
