,INDEX_NAME
0,INDEX_ADVICES
1,NJAMS_Q_I_FT_TG
2,NJAMS_Q_I_FT_T_G
3,NJAMS_Q_I_FT_JG
4,NJAMS_Q_I_FT_J_G
5,NJAMS_Q_I_FT_INST_JOB_REQ_RCVR
6,NJAMS_Q_I_FT_TRIG_INST_NAME
7,NJAMS_Q_I_T_NFT_ST_MISFIRE_GRP
8,NJAMS_Q_I_T_NFT_ST_MISFIRE
9,NJAMS_Q_I_T_NFT_MISFIRE
10,NJAMS_Q_I_T_NFT_ST
11,NJAMS_Q_I_T_NEXT_FIRE_TIME
12,NJAMS_Q_I_T_N_G_STATE
13,NJAMS_Q_I_T_N_STATE
14,NJAMS_Q_I_T_STATE
15,NJAMS_Q_I_T_G
16,NJAMS_Q_I_T_C
17,NJAMS_Q_I_T_JG
18,NJAMS_Q_I_T_J
19,NJAMS_Q_I_J_GRP
20,NJAMS_Q_I_J_REQ_RECOVERY
21,UINDEX_IMAGES
22,NJAMS_STATISTICS_1
23,IDX_ENGINE_CONFIG
24,INDEX_TRACK_TEMPLATES_2
25,INDEX_TRACK_TEMPLATES_1
26,UINDEX_TRACK_TEMPLATES
27,INDEX_TRACKS_2
28,INDEX_TRACKS_1
29,INDEX_TRACKS
30,INDEX_TASKS_MAIN_2
31,INDEX_TASKS_MAIN_1
32,INDEX_TASKS_1
33,INDEX_DOMAIN_OBJECT_HISTORY
34,INDEX_PRIVILEGES
35,INDEX_ROLE_MEMBERS
36,INDEX_DOMAIN_OBJECTS_4
37,INDEX_DOMAIN_OBJECTS_3
38,INDEX_DOMAIN_OBJECTS_2
39,INDEX_DOMAIN_OBJECTS
40,INDEX_MONITOR_MAIN_7
41,INDEX_MONITOR_MAIN_6
42,INDEX_MONITOR_MAIN_5
43,INDEX_MONITOR_MAIN_4
44,INDEX_MONITOR_MAIN_3
45,INDEX_MONITOR_MAIN_2
46,INDEX_MONITOR_MAIN_1
47,INDEX_MONITOR_BWTRACE_2
48,INDEX_MONITOR_BWTRACE_1
49,INDEX_MONITOR_BWTRACE
50,UINDEX_PRIVILEGES
51,INDEX_ROLES
52,UINDEX_USERS
53,INDEX_MONITOR_ATTRIBUTES_8
54,INDEX_MONITOR_ATTRIBUTES_7
55,UINDEX_MONITOR_SEARCH_ATT
56,INDEX_MONITOR_ATTRIBUTES_6
57,UINDEX_MONITOR_EVENTS
58,INDEX_MONITOR_EVENTS_5
59,INDEX_MONITOR_EVENTS_4
60,INDEX_MONITOR_EVENTS_3
61,INDEX_MONITOR_EVENTS_2
62,UINDEX_MONITOR_BS
63,UINDEX_MONITOR_BO
64,UINDEX_ACTIVITY_STATISTICS
65,PK_NJAMS_Q_LOCKS
66,PK_NJAMS_Q_SCHEDULER_STATE
67,PK_NJAMS_Q_FIRED_TRIGGER
68,PK_NJAMS_Q_PAUSED_TRIG_GRPS
69,SYS_IL0000150957C00003$$
70,PK_NJAMS_Q_CALENDARS
71,SYS_IL0000150953C00004$$
72,PK_NJAMS_Q_BLOB_TRIG
73,PK_NJAMS_Q_SIMPROP_TRIG
74,PK_NJAMS_Q_CRON_TRIG
75,PK_NJAMS_Q_SIMPLE_TRIG
76,SYS_IL0000150943C00016$$
77,PK_NJAMS_Q_TRIGGERS
78,SYS_IL0000150939C00010$$
79,PK_NJAMS_Q_JOB_DETAILS
80,SYS_IL0000150928C00003$$
81,NJAMS_T_PLUGINS_PK
82,NJAMS_T_DP_CONNECTION_PK
83,NJAMS_T_DP_STATISTIC_PK
84,SYS_IL0000150921C00005$$
85,SYS_IL0000150917C00002$$
86,SYS_IL0000150913C00005$$
87,PK_ID_MONITOR_SEARCH_ATTR
88,NJAMS_T_LAST_ACTIVITY_INFO_PK
89,SYS_IL0000150898C00007$$
90,SYS_IL0000150898C00008$$
91,SYS_IL0000150894C00006$$
92,PK_ID_PRIVILEGES
93,PK_ID_ROLE_MEMBERS
94,PK_ID_USERS
95,PK_ID_ROLES
96,SYS_IL0000150882C00004$$
97,PK_ID_CONFIGURATION
98,SYS_IL0000150877C00003$$
99,SYS_IL0000150871C00003$$
100,SYS_IL0000150871C00004$$
101,PK_ID_PROCESS_DIAGRAMS
