SNAP_TIME,CPU used by this session,db block changes,elapsed,execute count,logons cumulative,parse count (hard),parse count (total),parse time cpu,physical read total bytes,physical write total bytes,redo size,session logical reads,sorts (disk),user calls,user commits
202011152300,0,0,3604,0,0,0,0,0,0,0,0,0,0,0,0
202011160000,0,0,3603,0,0,0,0,0,0,0,0,0,0,0,0
202011160100,2633,51848,3604,280730,309,70,2937,34,2044700672,261063168,13213620,651293,0,3865,372
202011160200,1227,40570,3604,8540,313,110,2951,14,1219383296,106547200,10966192,530511,0,4539,419
202011160300,1205,31928,3604,6787,310,5,2481,12,1219874304,103567872,9802200,491386,0,4049,350
202011160400,4845,390126,3603,39027,439,102,23230,61,48452556288,368706048,94494092,10945465,0,45157,813
202011160500,28978,13641110,3604,454771,1117,1292,86158,382,187485746688,18339018240,3306988476,89593931,0,255206,6851
202011160600,46989,22118927,3604,740990,1507,1645,530794,901,307302695936,22524406784,5361459412,159649296,0,843989,9290
202011160700,38654,9443646,3603,294710,1850,1456,183164,698,239869640704,11420591104,2400065760,124163662,0,392990,5648
202011160800,47532,5506504,3605,408845,1714,2337,83477,1236,649713966592,5619238400,1193751820,139231429,0,181774,5189
202011160900,66757,45943282,3604,407767,1958,26550,72610,4220,271320331776,45281163264,9881650900,131954033,0,226795,10475
202011161000,165875,24275975,3606,670870,2646,81688,222044,6886,2217324542976,24608581120,5352983496,396594003,0,660519,117818
202011161100,43457,44788866,3604,526129,1668,4874,186711,3629,172682998784,39623620096,9119434792,113605259,0,306484,8230
202011161200,93206,19893499,3545,409433,1290,4417,35918,1119,1612048816128,29553566208,5819063584,247956231,0,551386,6466
202011161300,39491,23256283,3605,56267,1734,2368,27902,1322,561285212160,22381446144,4902053236,119701411,0,94428,4745
202011161400,100271,2767784,3606,384011,1983,3535,50538,1790,1632741454336,4020699136,650027368,227323913,0,190846,4943
202011161500,48554,3022171,3605,393168,2730,5432,61546,2748,249284668928,3236472832,651989704,106967751,0,199750,4816
202011161600,95691,2174275,3606,407821,2682,3339,74865,1542,1345065550336,2407134208,489351100,245823604,0,206637,5161
202011161700,55422,5453587,3604,436835,2439,3024,83373,947,295805274112,6479366656,1233987480,156409392,0,275534,6773
202011161800,111628,134817643,3605,372776,1238,2724,46128,494,1602444846592,128126053376,23460772020,391636545,0,159205,4429
202011161900,84245,19903144,3604,298405,760,526,11822,369,340435821568,63108996608,9406060364,181750283,2,31587,2209
202011162000,69747,3739374,3605,53803,688,1285,22094,159,1660928932864,4187019264,732880636,219723272,0,88448,3569
202011162100,16746,244686,3605,80870,590,1052,11135,670,486088812032,3549960192,47837800,25332616,0,36550,2005
202011162200,113278,1924379,3605,131624,461,3325,41222,9750,827759247872,8842516992,278571672,112284504,0,82516,2110
202011162300,62396,78095051,3605,12654055,483,776,10044,562,18641206784,59432694784,15520881560,90504589,0,12370028,3526
202011170000,18307,5824345,3604,1350642,499,814,6383,1257,34923913728,5677447680,1357364740,12376740,0,1354020,150
202011170100,2526,43057,3543,281848,308,173,3210,57,1946429952,134881280,11011740,244324,0,3446,319
202011170200,1965,226043,3604,19713,318,218,3391,55,2255778304,225489920,47750936,1247085,0,33863,484
202011170300,1591,42256,3605,8244,311,41,2896,19,1226345984,113682944,12111604,395452,0,4585,409
202011170400,5210,304504,3604,34230,417,131,19230,123,9857136640,302003712,74140272,9681847,0,38303,766
202011170500,17119,3361296,3603,424191,877,443,76279,255,159869666304,3921616896,818984356,51085885,0,212803,4889
202011170600,39575,16334735,3604,35793,1497,1419,23623,312,227253306880,16219676160,3476980144,145913845,0,83125,1841
202011170700,46842,23442463,3604,44353,1686,1101,24392,319,193712292352,23474365952,5050594604,158133457,0,135286,2542
202011170800,79289,21227311,3604,873789,2422,80857,425491,6684,1247695044096,20006738432,4780052804,217445858,0,862390,74051
202011170900,93664,28033896,3605,1044499,4089,4884,585925,5252,620550579200,27226421248,6065127212,164582086,0,851231,9802
202011171000,181172,25881391,3606,712762,5269,58310,274849,6471,2100651668480,29313722880,6106610444,399451640,0,742609,87958
202011171100,86533,14421422,3605,657001,4075,9443,292996,5781,298738048512,22196678656,3434921624,87478227,0,529197,7242
202011171200,99606,43052242,3604,407842,1607,2895,34350,871,1311420607488,50758777344,10671060884,262338662,0,302188,6161
202011171300,18194,9126653,3606,128226,1476,1701,76323,1091,212216795136,10578446336,2161970484,44463989,0,195730,2995
202011171400,77320,19750252,3545,383737,3081,4374,61387,2123,1215359470080,19360247808,4292003196,203634776,0,184197,4590
202011171500,52314,3232961,3606,387990,3328,5520,67241,3032,243233306112,4369320960,796598048,92490180,0,175602,3335
202011171600,114166,3491456,3606,430566,3081,4379,93211,1738,1271336135680,3965094400,762929244,250118543,0,247422,4189
202011171700,57783,3398092,3604,388533,1783,2167,67432,955,273398820352,3856743424,759361576,87095070,0,175813,3413
202011171800,130353,134578780,3605,359265,1224,1799,46857,344,1708096160768,125774739968,23157550332,395183691,0,130465,2844
202011171900,81905,20702297,3606,287289,549,373,7602,75,242962158592,66015119360,9618310964,145811558,0,15564,1028
202011172000,84738,1773444,3605,37645,620,1205,14380,153,1626712945664,4251298816,646379060,225795660,2,70419,2018
202011172100,24654,344263,3606,114106,711,1166,32649,695,601037701632,2946347008,82928012,35692510,0,73789,1057
202011172200,131923,15239307,3606,3277878,414,8503,25425,25992,724730969600,20267988992,2841787732,127100741,0,3203573,3590
