SNAP_TIME,EXECS/DOMUTR6,EXECS/DOMUTX6
2020120607,21977.0,711.0
2020120608,22429.0,1448.0
2020120609,22878.0,1758.0
2020120610,23330.0,2249.0
2020120611,23775.0,2659.0
2020120612,21706.0,1961.0
2020120613,21823.0,1480.0
2020120614,21913.0,2129.0
2020120615,21956.0,2311.0
2020120616,21956.0,1587.0
2020120617,21956.0,1801.0
2020120618,21956.0,1701.0
2020120619,21956.0,1567.0
2020120620,21956.0,1901.0
2020120621,18719.0,1274.0
2020120622,18719.0,829.0
2020120623,7141.0,653.0
2020120700,7411.0,46.0
2020120701,7681.0,53.0
2020120702,7951.0,200.0
2020120703,8221.0,105.0
2020120704,8491.0,120.0
2020120705,8759.0,134.0
2020120706,9029.0,260.0
2020120707,9300.0,1674.0
2020120708,9569.0,2786.0
2020120709,9838.0,4565.0
2020120710,10207.0,3942.0
2020120711,10943.0,3596.0
2020120712,11485.0,3412.0
2020120713,12094.0,3172.0
2020120714,12621.0,3254.0
2020120715,14209.0,3175.0
2020120716,15742.0,3106.0
2020120717,17402.0,2896.0
2020120718,18934.0,2153.0
2020120719,19710.0,1269.0
2020120720,20210.0,989.0
2020120721,20662.0,1012.0
2020120722,21115.0,689.0
2020120723,21560.0,449.0
2020120800,22011.0,24.0
2020120801,22463.0,0.0
2020120802,22913.0,176.0
2020120803,23359.0,3635.0
2020120804,23809.0,4146.0
2020120805,24261.0,4794.0
2020120806,24712.0,5755.0
2020120807,25157.0,6752.0
2020120808,25607.0,7394.0
2020120809,26061.0,7336.0
2020120810,26884.0,6657.0
2020120811,27740.0,6745.0
2020120812,29335.0,6644.0
2020120813,30381.0,6869.0
2020120814,31181.0,7118.0
2020120815,32196.0,7344.0
2020120816,33235.0,6991.0
2020120817,35124.0,7054.0
2020120818,37196.0,5971.0
2020120819,37943.0,5566.0
2020120820,38390.0,4219.0
2020120821,38841.0,1930.0
2020120822,39293.0,1114.0
2020120823,39739.0,636.0
2020120900,40189.0,90.0
2020120901,40641.0,34.0
2020120902,41091.0,2474.0
2020120903,41538.0,6196.0
2020120904,41988.0,5598.0
