,PLAN_HASH_VALUE,BTIME,MINUTES,EXECUTIONS,avg_duration_(sec)
0,237257870,17-sep-20 01:00,60,591,1.9547
1,237257870,17-sep-20 02:00,60,1753,1.9631
2,237257870,17-sep-20 03:00,60,1731,1.9926
3,237257870,17-sep-20 04:00,60,2174,1.5622
4,237257870,17-sep-20 05:00,60,2192,1.5518
5,237257870,17-sep-20 06:00,60,2347,1.4399
6,237257870,17-sep-20 07:00,60,1894,1.797
7,237257870,17-sep-20 08:00,60,1569,2.1255
8,237257870,17-sep-20 09:00,60,1164,2.9324
9,237257870,17-sep-20 10:00,60,894,3.8069
10,237257870,17-sep-20 11:00,60,232,3.4297
11,237257870,19-sep-20 01:00,60,168,1.2901
12,237257870,19-sep-20 02:00,60,2648,1.267
13,237257870,19-sep-20 03:00,60,962,3.6559
14,237257870,19-sep-20 04:00,60,943,3.7324
15,237257870,19-sep-20 05:00,59,992,3.4846
16,237257870,19-sep-20 06:00,60,914,3.8461
17,237257870,19-sep-20 07:00,60,846,4.1609
18,237257870,19-sep-20 08:00,60,810,4.2914
19,237257870,19-sep-20 09:00,60,849,4.1486
20,237257870,19-sep-20 10:00,60,874,4.0293
21,237257870,19-sep-20 11:00,60,887,3.97
22,237257870,19-sep-20 12:00,60,946,3.7163
23,237257870,19-sep-20 13:00,60,974,3.607
24,237257870,19-sep-20 14:00,60,966,3.6376
25,237257870,19-sep-20 15:00,60,945,3.7117
26,237257870,19-sep-20 16:00,60,992,3.5148
27,237257870,19-sep-20 17:00,60,987,3.4313
28,237257870,19-sep-20 18:00,60,1022,3.4398
29,237257870,19-sep-20 19:00,60,945,3.7053
30,237257870,19-sep-20 20:00,60,817,4.3004
31,237257870,19-sep-20 21:00,60,852,4.1219
32,237257870,19-sep-20 22:00,60,829,4.1953
33,237257870,19-sep-20 23:00,59,853,3.9654
34,237257870,20-sep-20 00:00,60,856,4.1179
35,237257870,20-sep-20 01:00,60,913,3.8568
36,237257870,20-sep-20 02:00,60,963,3.6511
37,237257870,20-sep-20 03:00,60,936,3.7622
38,237257870,20-sep-20 04:00,60,819,4.3061
39,237257870,20-sep-20 05:00,60,816,4.3259
40,237257870,20-sep-20 06:00,60,2386,1.4025
41,237257870,20-sep-20 07:00,60,1597,2.1563
42,237257870,20-sep-20 08:00,60,932,3.773
43,237257870,20-sep-20 09:00,60,1055,3.3262
44,237257870,20-sep-20 10:00,60,1276,2.733
45,237257870,20-sep-20 11:00,60,1190,2.9364
46,237257870,20-sep-20 12:00,60,471,3.0569
47,237257870,21-sep-20 01:00,60,172,3.3353
48,237257870,21-sep-20 02:00,60,1055,3.3089
49,237257870,21-sep-20 03:00,60,1193,2.9082
50,237257870,21-sep-20 04:00,60,1065,3.2944
51,237257870,21-sep-20 05:00,60,1057,3.3163
52,237257870,21-sep-20 06:00,60,1063,3.2964
53,237257870,21-sep-20 07:00,60,974,3.5872
54,237257870,21-sep-20 08:00,60,915,3.8114
55,237257870,21-sep-20 09:00,60,889,3.9484
56,237257870,21-sep-20 10:00,60,869,3.9921
57,237257870,21-sep-20 11:00,60,868,3.8161
58,237257870,21-sep-20 12:00,59,969,3.5557
59,237257870,21-sep-20 13:00,60,1013,3.4618
60,237257870,21-sep-20 14:00,60,990,3.5425
61,237257870,21-sep-20 15:00,60,962,3.6457
62,237257870,21-sep-20 16:00,60,928,3.7754
63,237257870,21-sep-20 17:00,60,952,3.6521
64,237257870,21-sep-20 18:00,60,945,3.6462
65,237257870,21-sep-20 19:00,60,914,3.6402
66,237257870,21-sep-20 20:00,60,858,4.0848
67,237257870,21-sep-20 21:00,60,785,4.4983
68,237257870,21-sep-20 22:00,60,756,4.6513
69,237257870,21-sep-20 23:00,60,867,4.0613
70,237257870,22-sep-20 00:00,60,982,3.5777
71,237257870,22-sep-20 01:00,60,1114,3.4906
72,237257870,22-sep-20 02:00,60,1989,3.4819
73,237257870,22-sep-20 03:00,60,2025,3.4416
74,237257870,22-sep-20 04:00,60,2040,3.3978
75,237257870,22-sep-20 05:00,60,2059,3.3728
76,237257870,22-sep-20 06:00,59,2022,3.3884
77,237257870,22-sep-20 07:00,60,1778,3.9255
78,237257870,22-sep-20 08:00,60,1720,4.0436
79,237257870,22-sep-20 09:00,60,1636,4.2652
80,237257870,22-sep-20 10:00,60,1434,4.8806
81,237257870,22-sep-20 11:00,60,1604,4.3594
82,237257870,22-sep-20 12:00,60,1641,4.2579
83,237257870,22-sep-20 13:00,60,1749,3.967
84,237257870,22-sep-20 14:00,60,1694,4.1164
85,237257870,22-sep-20 15:00,60,1673,4.1775
86,237257870,22-sep-20 16:00,60,1771,3.9374
87,237257870,22-sep-20 17:00,60,1832,3.7797
88,237257870,22-sep-20 18:00,60,2018,3.4253
89,237257870,22-sep-20 19:00,60,1891,3.5459
90,237257870,22-sep-20 20:00,60,918,3.7533
91,237257870,22-sep-20 21:00,60,846,4.1478
92,237257870,22-sep-20 22:00,60,891,3.9257
93,237257870,22-sep-20 23:00,60,927,3.7876
