,SNAP_ID,SNAP_TIME,ENQ_DEADLOCKS
0,72732,202011102300,
1,72733,202011110000,0.0
2,72734,202011110100,0.0
3,72735,202011110200,0.0
4,72736,202011110300,0.0
5,72737,202011110400,0.0
6,72738,202011110500,0.0
7,72739,202011110600,0.0
8,72740,202011110700,0.0
9,72741,202011110800,0.0
10,72742,202011110900,0.0
11,72743,202011111000,0.0
12,72744,202011111100,0.0
13,72745,202011111200,0.0
14,72746,202011111300,0.0
15,72747,202011111400,0.0
16,72748,202011111500,0.0
17,72749,202011111600,0.0
18,72750,202011111700,0.0
19,72751,202011111800,0.0
20,72752,202011111900,0.0
21,72753,202011112000,0.0
22,72754,202011112101,0.0
23,72755,202011112200,0.0
24,72756,202011112300,0.0
25,72757,202011120000,0.0
26,72758,202011120100,0.0
27,72759,202011120200,0.0
28,72760,202011120300,0.0
29,72761,202011120400,0.0
30,72762,202011120500,0.0
31,72763,202011120600,0.0
32,72764,202011120700,0.0
33,72765,202011120800,0.0
34,72766,202011120900,0.0
35,72767,202011121000,0.0
36,72768,202011121100,0.0
37,72769,202011121200,0.0
38,72770,202011121300,0.0
39,72771,202011121400,0.0
40,72772,202011121500,0.0
41,72773,202011121600,0.0
42,72774,202011121700,0.0
43,72775,202011121800,0.0
44,72776,202011121900,0.0
45,72777,202011122000,0.0
46,72778,202011122100,0.0
47,72779,202011122200,0.0
48,72780,202011122300,0.0
49,72781,202011130000,0.0
50,72782,202011130100,0.0
51,72783,202011130200,0.0
52,72784,202011130300,0.0
53,72785,202011130400,0.0
54,72786,202011130500,0.0
55,72787,202011130600,0.0
56,72788,202011130700,0.0
57,72789,202011130800,0.0
58,72790,202011130900,0.0
59,72791,202011131000,0.0
60,72792,202011131100,0.0
61,72793,202011131200,0.0
62,72794,202011131300,0.0
63,72795,202011131400,0.0
64,72796,202011131500,0.0
65,72797,202011131600,0.0
66,72798,202011131700,0.0
67,72799,202011131800,0.0
68,72800,202011131900,0.0
69,72801,202011132000,0.0
70,72802,202011132100,0.0
71,72803,202011132200,0.0
72,72804,202011132300,0.0
73,72805,202011140000,0.0
74,72806,202011140100,0.0
75,72807,202011140200,0.0
76,72808,202011140300,0.0
77,72809,202011140400,0.0
78,72810,202011140500,0.0
79,72811,202011140600,0.0
80,72812,202011140700,0.0
81,72813,202011140800,0.0
82,72814,202011140900,0.0
83,72815,202011141000,0.0
84,72816,202011141100,0.0
85,72817,202011141200,0.0
86,72818,202011141300,0.0
87,72819,202011141400,0.0
88,72820,202011141500,0.0
89,72821,202011141600,0.0
90,72822,202011141700,0.0
91,72823,202011141800,0.0
92,72824,202011141900,0.0
93,72825,202011142000,0.0
94,72826,202011142100,0.0
95,72827,202011142200,0.0
96,72828,202011142300,0.0
97,72829,202011150000,0.0
98,72830,202011150100,0.0
99,72831,202011150200,0.0
100,72832,202011150300,0.0
101,72833,202011150400,0.0
102,72834,202011150500,0.0
103,72835,202011150600,0.0
104,72836,202011150700,0.0
105,72837,202011150800,0.0
106,72838,202011150900,0.0
107,72839,202011151000,0.0
108,72840,202011151100,0.0
109,72841,202011151200,0.0
110,72842,202011151300,0.0
111,72843,202011151400,0.0
112,72844,202011151500,0.0
113,72845,202011151600,0.0
114,72846,202011151700,0.0
115,72847,202011151800,0.0
116,72848,202011151900,0.0
117,72849,202011152000,0.0
118,72850,202011152100,0.0
119,72851,202011152200,0.0
120,72852,202011152300,0.0
121,72853,202011160000,0.0
122,72854,202011160100,0.0
123,72855,202011160200,0.0
124,72856,202011160300,0.0
125,72857,202011160400,0.0
126,72858,202011160500,0.0
127,72859,202011160600,0.0
128,72860,202011160700,0.0
129,72861,202011160800,0.0
130,72862,202011160900,0.0
131,72863,202011161000,0.0
132,72864,202011161100,0.0
133,72865,202011161200,0.0
134,72866,202011161300,0.0
135,72867,202011161400,0.0
136,72868,202011161500,0.0
137,72869,202011161600,0.0
138,72870,202011161700,0.0
139,72871,202011161800,0.0
140,72872,202011161900,0.0
141,72873,202011162000,0.0
142,72874,202011162100,0.0
143,72875,202011162200,0.0
144,72876,202011162300,0.0
145,72877,202011170000,0.0
146,72878,202011170100,0.0
147,72879,202011170200,0.0
148,72880,202011170300,0.0
149,72881,202011170400,0.0
150,72882,202011170500,0.0
151,72883,202011170600,0.0
152,72884,202011170700,0.0
153,72885,202011170800,0.0
154,72886,202011170900,0.0
155,72887,202011171000,0.0
156,72888,202011171100,0.0
157,72889,202011171200,0.0
158,72890,202011171300,0.0
159,72891,202011171400,0.0
160,72892,202011171500,0.0
161,72893,202011171600,0.0
162,72894,202011171700,0.0
163,72895,202011171800,0.0
164,72896,202011171900,0.0
165,72897,202011172000,0.0
166,72898,202011172100,0.0
167,72899,202011172200,0.0
168,72900,202011172300,0.0
169,72901,202011180000,0.0
170,72902,202011180100,0.0
171,72903,202011180200,0.0
172,72904,202011180300,0.0
173,72905,202011180400,0.0
174,72906,202011180500,0.0
175,72907,202011180600,0.0
176,72908,202011180700,0.0
177,72909,202011180800,0.0
178,72910,202011180900,0.0
179,72911,202011181000,0.0
180,72912,202011181100,0.0
181,72913,202011181200,0.0
182,72914,202011181300,0.0
183,72915,202011181400,0.0
184,72916,202011181500,0.0
185,72917,202011181600,0.0
186,72918,202011181700,0.0
187,72919,202011181800,0.0
188,72920,202011181900,0.0
189,72921,202011182000,0.0
190,72922,202011182100,0.0
191,72923,202011182200,0.0
192,72924,202011182300,0.0
193,72925,202011190000,0.0
194,72926,202011190100,0.0
195,72927,202011190200,0.0
196,72928,202011190300,0.0
197,72929,202011190401,0.0
198,72930,202011190500,0.0
199,72931,202011190600,0.0
200,72932,202011190700,0.0
201,72933,202011190800,0.0
202,72934,202011190900,0.0
203,72935,202011191000,0.0
204,72936,202011191100,0.0
205,72937,202011191200,0.0
