,SNAP_TIME,SERVICE_NAME,STAT_NAME,VALUE,DELTAT_SEC,RATE_VALUE
0,20200924000023,IONTOT1,user rollbacks,0,,
1,20200924000023,NTOT01,user rollbacks,0,,
2,20200924000023,SO_NTO_P0,user rollbacks,0,,
3,20200924000023,SO_NTO_T1,user rollbacks,1,,
4,20200924000023,SYS$BACKGROUND,user rollbacks,16,,
5,20200924000023,SYS$USERS,user rollbacks,7,,
6,20200924000023,seeddata,user rollbacks,0,,
7,20200924000023,seeddataXDB,user rollbacks,0,,
8,20200924000023,IONTOT1,session cursor cache hits,2836209,,
9,20200924000023,NTOT01,session cursor cache hits,0,,
10,20200924000023,SO_NTO_P0,session cursor cache hits,0,,
11,20200924000023,SO_NTO_T1,session cursor cache hits,174,,
12,20200924000023,SYS$BACKGROUND,session cursor cache hits,270622,,
13,20200924000023,SYS$USERS,session cursor cache hits,251238,,
14,20200924000023,seeddata,session cursor cache hits,0,,
15,20200924000023,seeddataXDB,session cursor cache hits,0,,
16,20200924000023,IONTOT1,workarea executions - multipass,0,,
17,20200924000023,NTOT01,workarea executions - multipass,0,,
18,20200924000023,SO_NTO_P0,workarea executions - multipass,0,,
19,20200924000023,SO_NTO_T1,workarea executions - multipass,0,,
20,20200924000023,SYS$BACKGROUND,workarea executions - multipass,0,,
21,20200924000023,SYS$USERS,workarea executions - multipass,0,,
22,20200924000023,seeddata,workarea executions - multipass,0,,
23,20200924000023,seeddataXDB,workarea executions - multipass,0,,
24,20200924000023,IONTOT1,concurrency wait time,451054859,,
25,20200924000023,NTOT01,concurrency wait time,0,,
26,20200924000023,SO_NTO_P0,concurrency wait time,0,,
27,20200924000023,SO_NTO_T1,concurrency wait time,1350,,
28,20200924000023,SYS$BACKGROUND,concurrency wait time,1012248,,
29,20200924000023,SYS$USERS,concurrency wait time,5841919,,
30,20200924000023,seeddata,concurrency wait time,0,,
31,20200924000023,seeddataXDB,concurrency wait time,0,,
32,20200924000023,IONTOT1,DB CPU,51422794863,,
33,20200924000023,NTOT01,DB CPU,0,,
34,20200924000023,SO_NTO_P0,DB CPU,0,,
35,20200924000023,SO_NTO_T1,DB CPU,7771966,,
36,20200924000023,SYS$BACKGROUND,DB CPU,51285,,
37,20200924000023,SYS$USERS,DB CPU,948362605,,
38,20200924000023,seeddata,DB CPU,0,,
39,20200924000023,seeddataXDB,DB CPU,0,,
40,20200924000023,IONTOT1,sql execute elapsed time,202043951008,,
41,20200924000023,NTOT01,sql execute elapsed time,0,,
42,20200924000023,SO_NTO_P0,sql execute elapsed time,0,,
43,20200924000023,SO_NTO_T1,sql execute elapsed time,14180302,,
44,20200924000023,SYS$BACKGROUND,sql execute elapsed time,0,,
45,20200924000023,SYS$USERS,sql execute elapsed time,4198542977,,
46,20200924000023,seeddata,sql execute elapsed time,0,,
47,20200924000023,seeddataXDB,sql execute elapsed time,0,,
48,20200924000023,IONTOT1,gc cr blocks received,0,,
49,20200924000023,NTOT01,gc cr blocks received,0,,
50,20200924000023,SO_NTO_P0,gc cr blocks received,0,,
51,20200924000023,SO_NTO_T1,gc cr blocks received,0,,
52,20200924000023,SYS$BACKGROUND,gc cr blocks received,0,,
53,20200924000023,SYS$USERS,gc cr blocks received,0,,
54,20200924000023,seeddata,gc cr blocks received,0,,
55,20200924000023,seeddataXDB,gc cr blocks received,0,,
56,20200924000023,IONTOT1,user calls,211898307,,
57,20200924000023,NTOT01,user calls,0,,
58,20200924000023,SO_NTO_P0,user calls,0,,
59,20200924000023,SO_NTO_T1,user calls,27276,,
60,20200924000023,SYS$BACKGROUND,user calls,2,,
61,20200924000023,SYS$USERS,user calls,12929,,
62,20200924000023,seeddata,user calls,0,,
