,SNAP_TIME,SERVICE_NAME,STAT_NAME,VALUE,DELTAT_SEC,RATE_VALUE
0,20200928000044,CONFOP0,parse count (total),623724,,
1,20200928010016,CONFOP0,parse count (total),624333,3627.158,0.17
2,20200928020043,CONFOP0,parse count (total),624876,3565.479,0.15
3,20200928030009,CONFOP0,parse count (total),625412,3629.821,0.15
4,20200928040038,CONFOP0,parse count (total),625948,3569.797,0.15
5,20200928050008,CONFOP0,parse count (total),626487,3631.172,0.15
6,20200928060039,CONFOP0,parse count (total),627009,3566.174,0.15
7,20200928070006,CONFOP0,parse count (total),627845,3633.774,0.23
8,20200928080039,CONFOP0,parse count (total),628381,3563.093,0.15
9,20200928090002,CONFOP0,parse count (total),628917,3621.073,0.15
10,20200928100024,CONFOP0,parse count (total),629453,3621.707,0.15
11,20200928110045,CONFOP0,parse count (total),630271,3563.093,0.23
12,20200928120008,CONFOP0,parse count (total),630814,3621.546,0.15
13,20200928130030,CONFOP0,parse count (total),631350,3631.056,0.15
14,20200928140101,CONFOP0,parse count (total),631886,3573.355,0.15
15,20200928150034,CONFOP0,parse count (total),632424,3572.421,0.15
16,20200928000044,SYS$BACKGROUND,parse count (total),1681050,,
17,20200928010016,SYS$BACKGROUND,parse count (total),1682374,3627.158,0.37
18,20200928020043,SYS$BACKGROUND,parse count (total),1683666,3565.479,0.36
19,20200928030009,SYS$BACKGROUND,parse count (total),1684973,3629.821,0.36
20,20200928040038,SYS$BACKGROUND,parse count (total),1686141,3569.797,0.33
21,20200928050008,SYS$BACKGROUND,parse count (total),1687396,3631.172,0.35
22,20200928060039,SYS$BACKGROUND,parse count (total),1688560,3566.174,0.33
23,20200928070006,SYS$BACKGROUND,parse count (total),1690149,3633.774,0.44
24,20200928080039,SYS$BACKGROUND,parse count (total),1691422,3563.093,0.36
25,20200928090002,SYS$BACKGROUND,parse count (total),1692602,3621.073,0.33
26,20200928100024,SYS$BACKGROUND,parse count (total),1693864,3621.707,0.35
27,20200928110045,SYS$BACKGROUND,parse count (total),1695358,3563.093,0.42
28,20200928120008,SYS$BACKGROUND,parse count (total),1696687,3621.546,0.37
29,20200928130030,SYS$BACKGROUND,parse count (total),1697984,3631.056,0.36
30,20200928140101,SYS$BACKGROUND,parse count (total),1699153,3573.355,0.33
31,20200928150034,SYS$BACKGROUND,parse count (total),1700402,3572.421,0.35
32,20200928000044,SYS$USERS,parse count (total),9222554,,
33,20200928010016,SYS$USERS,parse count (total),9235749,3627.158,3.64
34,20200928020043,SYS$USERS,parse count (total),9239202,3565.479,0.97
35,20200928030009,SYS$USERS,parse count (total),9242292,3629.821,0.85
36,20200928040038,SYS$USERS,parse count (total),9244362,3569.797,0.58
37,20200928050008,SYS$USERS,parse count (total),9249614,3631.172,1.45
38,20200928060039,SYS$USERS,parse count (total),9252529,3566.174,0.82
39,20200928070006,SYS$USERS,parse count (total),9256873,3633.774,1.2
40,20200928080039,SYS$USERS,parse count (total),9261766,3563.093,1.37
41,20200928090002,SYS$USERS,parse count (total),9265365,3621.073,0.99
42,20200928100024,SYS$USERS,parse count (total),9269194,3621.707,1.06
43,20200928110045,SYS$USERS,parse count (total),9273012,3563.093,1.07
44,20200928120008,SYS$USERS,parse count (total),9277178,3621.546,1.15
45,20200928130030,SYS$USERS,parse count (total),9279350,3631.056,0.6
46,20200928140101,SYS$USERS,parse count (total),9283189,3573.355,1.07
47,20200928150034,SYS$USERS,parse count (total),9285784,3572.421,0.73
48,20200928000044,CONFOP0,opened cursors cumulative,1397153,,
49,20200928010016,CONFOP0,opened cursors cumulative,1398529,3627.158,0.38
50,20200928020043,CONFOP0,opened cursors cumulative,1399716,3565.479,0.33
51,20200928030009,CONFOP0,opened cursors cumulative,1400914,3629.821,0.33
52,20200928040038,CONFOP0,opened cursors cumulative,1402112,3569.797,0.34
53,20200928050008,CONFOP0,opened cursors cumulative,1403314,3631.172,0.33
54,20200928060039,CONFOP0,opened cursors cumulative,1404494,3566.174,0.33
55,20200928070006,CONFOP0,opened cursors cumulative,1406230,3633.774,0.48
56,20200928080039,CONFOP0,opened cursors cumulative,1407428,3563.093,0.34
57,20200928090002,CONFOP0,opened cursors cumulative,1408626,3621.073,0.33
58,20200928100024,CONFOP0,opened cursors cumulative,1409824,3621.707,0.33
59,20200928110045,CONFOP0,opened cursors cumulative,1412138,3563.093,0.65
60,20200928120008,CONFOP0,opened cursors cumulative,1413343,3621.546,0.33
61,20200928130030,CONFOP0,opened cursors cumulative,1414541,3631.056,0.33
62,20200928140101,CONFOP0,opened cursors cumulative,1415739,3573.355,0.34
63,20200928150034,CONFOP0,opened cursors cumulative,1416939,3572.421,0.34
64,20200928000044,SYS$BACKGROUND,opened cursors cumulative,103338097,,
65,20200928010016,SYS$BACKGROUND,opened cursors cumulative,103488556,3627.158,41.48
66,20200928020043,SYS$BACKGROUND,opened cursors cumulative,103630785,3565.479,39.89
67,20200928030009,SYS$BACKGROUND,opened cursors cumulative,103771508,3629.821,38.77
68,20200928040038,SYS$BACKGROUND,opened cursors cumulative,103910735,3569.797,39.0
69,20200928050008,SYS$BACKGROUND,opened cursors cumulative,104058070,3631.172,40.58
70,20200928060039,SYS$BACKGROUND,opened cursors cumulative,104198176,3566.174,39.29
71,20200928070006,SYS$BACKGROUND,opened cursors cumulative,104344609,3633.774,40.3
72,20200928080039,SYS$BACKGROUND,opened cursors cumulative,104482985,3563.093,38.84
73,20200928090002,SYS$BACKGROUND,opened cursors cumulative,104625847,3621.073,39.45
74,20200928100024,SYS$BACKGROUND,opened cursors cumulative,104771460,3621.707,40.21
75,20200928110045,SYS$BACKGROUND,opened cursors cumulative,104914801,3563.093,40.23
76,20200928120008,SYS$BACKGROUND,opened cursors cumulative,105060986,3621.546,40.37
77,20200928130030,SYS$BACKGROUND,opened cursors cumulative,105204146,3631.056,39.43
78,20200928140101,SYS$BACKGROUND,opened cursors cumulative,105343185,3573.355,38.91
79,20200928150034,SYS$BACKGROUND,opened cursors cumulative,105482227,3572.421,38.92
80,20200928000044,SYS$USERS,opened cursors cumulative,86696783,,
81,20200928010016,SYS$USERS,opened cursors cumulative,86795678,3627.158,27.27
82,20200928020043,SYS$USERS,opened cursors cumulative,86820384,3565.479,6.93
83,20200928030009,SYS$USERS,opened cursors cumulative,86846430,3629.821,7.18
84,20200928040038,SYS$USERS,opened cursors cumulative,86867713,3569.797,5.96
85,20200928050008,SYS$USERS,opened cursors cumulative,86903588,3631.172,9.88
86,20200928060039,SYS$USERS,opened cursors cumulative,86928636,3566.174,7.02
87,20200928070006,SYS$USERS,opened cursors cumulative,86955062,3633.774,7.27
88,20200928080039,SYS$USERS,opened cursors cumulative,86989719,3563.093,9.73
89,20200928090002,SYS$USERS,opened cursors cumulative,87022667,3621.073,9.1
90,20200928100024,SYS$USERS,opened cursors cumulative,87054753,3621.707,8.86
91,20200928110045,SYS$USERS,opened cursors cumulative,87084877,3563.093,8.45
92,20200928120008,SYS$USERS,opened cursors cumulative,87117586,3621.546,9.03
93,20200928130030,SYS$USERS,opened cursors cumulative,87138852,3631.056,5.86
94,20200928140101,SYS$USERS,opened cursors cumulative,87170850,3573.355,8.95
95,20200928150034,SYS$USERS,opened cursors cumulative,87200885,3572.421,8.41
96,20200928000044,CONFOP0,gc current blocks received,0,,
97,20200928010016,CONFOP0,gc current blocks received,0,3627.158,0.0
98,20200928020043,CONFOP0,gc current blocks received,0,3565.479,0.0
99,20200928030009,CONFOP0,gc current blocks received,0,3629.821,0.0
100,20200928040038,CONFOP0,gc current blocks received,0,3569.797,0.0
101,20200928050008,CONFOP0,gc current blocks received,0,3631.172,0.0
102,20200928060039,CONFOP0,gc current blocks received,0,3566.174,0.0
103,20200928070006,CONFOP0,gc current blocks received,0,3633.774,0.0
