,SNAP_TIME,SERVICE_NAME,STAT_NAME,VALUE,DELTAT_SEC,RATE_VALUE,SERVICE_NAME,SUM(VALUE)
0,20201103000026,SO_LIG_X1,workarea executions - multipass,0,,,SO_LIG_X1,47527816157628
1,20201103000026,SO_RPS_X1_BATCH,workarea executions - multipass,0,,,SO_RPS_X1_BATCH,31899353949765
2,20201103000026,SO_RPS_X1_TP,workarea executions - multipass,0,,,SO_RPS_X1_TP,162401542900507
3,20201103000026,GESPAX00,concurrency wait time,2417684219,,,GESPAX00,18453129690701
4,20201103000026,SO_CAMCAR_X1,concurrency wait time,779195356,,,SO_CAMCAR_X1,16569137345774
5,20201103000026,SO_CMN_X1,concurrency wait time,10557858458,,,SO_CMN_X1,1004942516155909
6,20201103000026,SO_CVT_X1,concurrency wait time,154288069806,,,SO_CVT_X1,96479613778579
7,20201103000026,SO_EPS_X1,concurrency wait time,94971036496,,,SO_EPS_X1,68869187691138
8,20201103000026,SO_ESBBWP_X1,concurrency wait time,570819397085,,,SO_ESBBWP_X1,1037326090581340
9,20201103000026,SO_ICE_X1,concurrency wait time,2084571562,,,SO_ICE_X1,25209618188638
10,20201103000026,SO_LIG_X1,concurrency wait time,11273120935,,,SO_LIG_X1,47527816157628
11,20201103000026,SO_RPS_X1_BATCH,concurrency wait time,10823958355,,,SO_RPS_X1_BATCH,31899353949765
12,20201103000026,SO_RPS_X1_TP,concurrency wait time,5532135675,,,SO_RPS_X1_TP,162401542900507
13,20201103000026,SO_CAMCAR_X1,session cursor cache hits,28294884,,,SO_CAMCAR_X1,16569137345774
14,20201103000026,SO_CMN_X1,session cursor cache hits,1069788443,,,SO_CMN_X1,1004942516155909
15,20201103000026,SO_CVT_X1,session cursor cache hits,18294527,,,SO_CVT_X1,96479613778579
16,20201103000026,SO_EPS_X1,session cursor cache hits,157684656,,,SO_EPS_X1,68869187691138
17,20201103000026,SO_ESBBWP_X1,session cursor cache hits,3800638116,,,SO_ESBBWP_X1,1037326090581340
18,20201103000026,SO_ICE_X1,session cursor cache hits,58426126,,,SO_ICE_X1,25209618188638
19,20201103000026,SO_LIG_X1,session cursor cache hits,35869853,,,SO_LIG_X1,47527816157628
20,20201103000026,SO_RPS_X1_BATCH,session cursor cache hits,370839,,,SO_RPS_X1_BATCH,31899353949765
21,20201103000026,SO_RPS_X1_TP,session cursor cache hits,16154319,,,SO_RPS_X1_TP,162401542900507
22,20201103000026,GESPAX00,workarea executions - multipass,0,,,GESPAX00,18453129690701
23,20201103000026,SO_CAMCAR_X1,workarea executions - multipass,0,,,SO_CAMCAR_X1,16569137345774
24,20201103000026,SO_CMN_X1,workarea executions - multipass,0,,,SO_CMN_X1,1004942516155909
25,20201103000026,SO_CVT_X1,workarea executions - multipass,0,,,SO_CVT_X1,96479613778579
26,20201103000026,SO_EPS_X1,workarea executions - multipass,0,,,SO_EPS_X1,68869187691138
27,20201103000026,SO_ESBBWP_X1,workarea executions - multipass,0,,,SO_ESBBWP_X1,1037326090581340
28,20201103000026,SO_ICE_X1,workarea executions - multipass,0,,,SO_ICE_X1,25209618188638
29,20201103000026,SO_ICE_X1,DB time,841051006617,,,SO_ICE_X1,25209618188638
30,20201103000026,SO_LIG_X1,DB time,1711915379442,,,SO_LIG_X1,47527816157628
31,20201103000026,SO_RPS_X1_BATCH,DB time,190980436682,,,SO_RPS_X1_BATCH,31899353949765
32,20201103000026,SO_RPS_X1_TP,DB time,3529351401118,,,SO_RPS_X1_TP,162401542900507
33,20201103000026,GESPAX00,user rollbacks,2391,,,GESPAX00,18453129690701
34,20201103000026,SO_CAMCAR_X1,user rollbacks,60,,,SO_CAMCAR_X1,16569137345774
35,20201103000026,SO_CMN_X1,user rollbacks,501778,,,SO_CMN_X1,1004942516155909
36,20201103000026,SO_CVT_X1,user rollbacks,177,,,SO_CVT_X1,96479613778579
37,20201103000026,SO_EPS_X1,user rollbacks,12305,,,SO_EPS_X1,68869187691138
38,20201103000026,SO_ESBBWP_X1,user rollbacks,2,,,SO_ESBBWP_X1,1037326090581340
39,20201103000026,SO_ICE_X1,user rollbacks,5104,,,SO_ICE_X1,25209618188638
40,20201103000026,SO_LIG_X1,user rollbacks,11333875,,,SO_LIG_X1,47527816157628
