,SNAP_TIME,SERVICE_NAME,STAT_NAME,VALUE,DELTAT_SEC,RATE_VALUE,SERVICE_NAME,SUM(VALUE)
0,20201015000038,NTOP00,parse count (total),25860969,,,NTOP00,404280676606861
1,20201015003049,NTOP00,parse count (total),25862103,1811.638,0.63,NTOP00,404280676606861
2,20201015010100,NTOP00,parse count (total),25863221,1751.972,0.64,NTOP00,404280676606861
3,20201015013012,NTOP00,parse count (total),25864365,1811.985,0.63,NTOP00,404280676606861
4,20201015020024,NTOP00,parse count (total),25928496,1813.536,35.36,NTOP00,404280676606861
5,20201015023038,NTOP00,parse count (total),25931511,1811.456,1.66,NTOP00,404280676606861
6,20201015030049,NTOP00,parse count (total),25932794,1809.369,0.71,NTOP00,404280676606861
7,20201015033059,NTOP00,parse count (total),25933911,1750.771,0.64,NTOP00,404280676606861
8,20201015040009,NTOP00,parse count (total),25935081,1811.019,0.65,NTOP00,404280676606861
9,20201015043020,NTOP00,parse count (total),25936370,1814.299,0.71,NTOP00,404280676606861
10,20201015050035,NTOP00,parse count (total),25937637,1812.6,0.7,NTOP00,404280676606861
11,20201015053047,NTOP00,parse count (total),25938696,1755.57,0.6,NTOP00,404280676606861
12,20201015060003,NTOP00,parse count (total),25939894,1814.288,0.66,NTOP00,404280676606861
13,20201015063017,NTOP00,parse count (total),25942225,1813.779,1.29,NTOP00,404280676606861
14,20201015070031,NTOP00,parse count (total),25943382,1811.481,0.64,NTOP00,404280676606861
15,20201015073042,NTOP00,parse count (total),25945155,1810.908,0.98,NTOP00,404280676606861
16,20201015080053,NTOP00,parse count (total),25947580,1750.327,1.39,NTOP00,404280676606861
17,20201015083004,NTOP00,parse count (total),25962658,1812.097,8.32,NTOP00,404280676606861
18,20201015090016,NTOP00,parse count (total),25991810,1811.793,16.09,NTOP00,404280676606861
19,20201015093028,NTOP00,parse count (total),26024528,1810.811,18.07,NTOP00,404280676606861
20,20201015100038,NTOP00,parse count (total),26057024,1810.274,17.95,NTOP00,404280676606861
21,20201015103049,NTOP00,parse count (total),26090456,1751.458,19.09,NTOP00,404280676606861
22,20201015110000,NTOP00,parse count (total),26125039,1813.854,19.07,NTOP00,404280676606861
23,20201015113014,NTOP00,parse count (total),26155645,1811.91,16.89,NTOP00,404280676606861
24,20201015120026,NTOP00,parse count (total),26178096,1810.13,12.4,NTOP00,404280676606861
25,20201015123036,NTOP00,parse count (total),26193023,1810.776,8.24,NTOP00,404280676606861
26,20201015130047,NTOP00,parse count (total),26203059,1810.765,5.54,NTOP00,404280676606861
27,20201015133058,NTOP00,parse count (total),26221962,1749.909,10.8,NTOP00,404280676606861
28,20201015140007,NTOP00,parse count (total),26256941,1813.036,19.29,NTOP00,404280676606861
29,20201015143020,NTOP00,parse count (total),26292685,1813.755,19.71,NTOP00,404280676606861
30,20201015150034,NTOP00,parse count (total),26328540,1813.224,19.77,NTOP00,404280676606861
31,20201015153047,NTOP00,parse count (total),26361027,1752.65,18.54,NTOP00,404280676606861
32,20201015160000,NTOP00,parse count (total),26389744,1812.749,15.84,NTOP00,404280676606861
33,20201015163013,NTOP00,parse count (total),26419201,1812.42,16.25,NTOP00,404280676606861
34,20201015170025,NTOP00,parse count (total),26442016,1811.789,12.59,NTOP00,404280676606861
35,20201015173037,NTOP00,parse count (total),26453635,1811.425,6.41,NTOP00,404280676606861
36,20201015180049,NTOP00,parse count (total),26461299,1753.386,4.37,NTOP00,404280676606861
37,20201015183002,NTOP00,parse count (total),26465210,1814.333,2.16,NTOP00,404280676606861
38,20201015190016,NTOP00,parse count (total),26472265,1811.966,3.89,NTOP00,404280676606861
39,20201015193028,NTOP00,parse count (total),26474647,1812.239,1.31,NTOP00,404280676606861
40,20201015200040,NTOP00,parse count (total),26476221,1812.137,0.87,NTOP00,404280676606861
41,20201015203053,NTOP00,parse count (total),26477343,1751.586,0.64,NTOP00,404280676606861
42,20201015210004,NTOP00,parse count (total),26478496,1813.041,0.64,NTOP00,404280676606861
43,20201015213017,NTOP00,parse count (total),26479630,1812.373,0.63,NTOP00,404280676606861
44,20201015220030,NTOP00,parse count (total),26480786,1812.041,0.64,NTOP00,404280676606861
45,20201015223042,NTOP00,parse count (total),26481921,1811.284,0.63,NTOP00,404280676606861
46,20201015230053,NTOP00,parse count (total),26483047,1750.746,0.64,NTOP00,404280676606861
47,20201015000038,NTOP00XDB,parse count (total),0,,,NTOP00XDB,0
48,20201015003049,NTOP00XDB,parse count (total),0,1811.638,0.0,NTOP00XDB,0
49,20201015010100,NTOP00XDB,parse count (total),0,1751.972,0.0,NTOP00XDB,0
50,20201015013012,NTOP00XDB,parse count (total),0,1811.985,0.0,NTOP00XDB,0
51,20201015020024,NTOP00XDB,parse count (total),0,1813.536,0.0,NTOP00XDB,0
52,20201015023038,NTOP00XDB,parse count (total),0,1811.456,0.0,NTOP00XDB,0
53,20201015030049,NTOP00XDB,parse count (total),0,1809.369,0.0,NTOP00XDB,0
54,20201015033059,NTOP00XDB,parse count (total),0,1750.771,0.0,NTOP00XDB,0
55,20201015040009,NTOP00XDB,parse count (total),0,1811.019,0.0,NTOP00XDB,0
56,20201015043020,NTOP00XDB,parse count (total),0,1814.299,0.0,NTOP00XDB,0
57,20201015050035,NTOP00XDB,parse count (total),0,1812.6,0.0,NTOP00XDB,0
58,20201015053047,NTOP00XDB,parse count (total),0,1755.57,0.0,NTOP00XDB,0
59,20201015060003,NTOP00XDB,parse count (total),0,1814.288,0.0,NTOP00XDB,0
60,20201015063017,NTOP00XDB,parse count (total),0,1813.779,0.0,NTOP00XDB,0
61,20201015070031,NTOP00XDB,parse count (total),0,1811.481,0.0,NTOP00XDB,0
62,20201015073042,NTOP00XDB,parse count (total),0,1810.908,0.0,NTOP00XDB,0
63,20201015080053,NTOP00XDB,parse count (total),0,1750.327,0.0,NTOP00XDB,0
64,20201015083004,NTOP00XDB,parse count (total),0,1812.097,0.0,NTOP00XDB,0
65,20201015090016,NTOP00XDB,parse count (total),0,1811.793,0.0,NTOP00XDB,0
66,20201015093028,NTOP00XDB,parse count (total),0,1810.811,0.0,NTOP00XDB,0
67,20201015100038,NTOP00XDB,parse count (total),0,1810.274,0.0,NTOP00XDB,0
68,20201015103049,NTOP00XDB,parse count (total),0,1751.458,0.0,NTOP00XDB,0
69,20201015110000,NTOP00XDB,parse count (total),0,1813.854,0.0,NTOP00XDB,0
70,20201015113014,NTOP00XDB,parse count (total),0,1811.91,0.0,NTOP00XDB,0
71,20201015120026,NTOP00XDB,parse count (total),0,1810.13,0.0,NTOP00XDB,0
72,20201015123036,NTOP00XDB,parse count (total),0,1810.776,0.0,NTOP00XDB,0
73,20201015130047,NTOP00XDB,parse count (total),0,1810.765,0.0,NTOP00XDB,0
74,20201015133058,NTOP00XDB,parse count (total),0,1749.909,0.0,NTOP00XDB,0
75,20201015140007,NTOP00XDB,parse count (total),0,1813.036,0.0,NTOP00XDB,0
76,20201015143020,NTOP00XDB,parse count (total),0,1813.755,0.0,NTOP00XDB,0
77,20201015150034,NTOP00XDB,parse count (total),0,1813.224,0.0,NTOP00XDB,0
78,20201015153047,NTOP00XDB,parse count (total),0,1752.65,0.0,NTOP00XDB,0
79,20201015160000,NTOP00XDB,parse count (total),0,1812.749,0.0,NTOP00XDB,0
80,20201015163013,NTOP00XDB,parse count (total),0,1812.42,0.0,NTOP00XDB,0
81,20201015170025,NTOP00XDB,parse count (total),0,1811.789,0.0,NTOP00XDB,0
82,20201015173037,NTOP00XDB,parse count (total),0,1811.425,0.0,NTOP00XDB,0
83,20201015180049,NTOP00XDB,parse count (total),0,1753.386,0.0,NTOP00XDB,0
84,20201015183002,NTOP00XDB,parse count (total),0,1814.333,0.0,NTOP00XDB,0
85,20201015190016,NTOP00XDB,parse count (total),0,1811.966,0.0,NTOP00XDB,0
86,20201015193028,NTOP00XDB,parse count (total),0,1812.239,0.0,NTOP00XDB,0
87,20201015200040,NTOP00XDB,parse count (total),0,1812.137,0.0,NTOP00XDB,0
88,20201015203053,NTOP00XDB,parse count (total),0,1751.586,0.0,NTOP00XDB,0
89,20201015210004,NTOP00XDB,parse count (total),0,1813.041,0.0,NTOP00XDB,0
90,20201015213017,NTOP00XDB,parse count (total),0,1812.373,0.0,NTOP00XDB,0
91,20201015220030,NTOP00XDB,parse count (total),0,1812.041,0.0,NTOP00XDB,0
92,20201015223042,NTOP00XDB,parse count (total),0,1811.284,0.0,NTOP00XDB,0
93,20201015230053,NTOP00XDB,parse count (total),0,1750.746,0.0,NTOP00XDB,0
94,20201015000038,SO_NTO_P0,parse count (total),326462000,,,SO_NTO_P0,282119911492012
95,20201015003049,SO_NTO_P0,parse count (total),326471233,1811.638,5.1,SO_NTO_P0,282119911492012
96,20201015010100,SO_NTO_P0,parse count (total),326477594,1751.972,3.63,SO_NTO_P0,282119911492012
97,20201015013012,SO_NTO_P0,parse count (total),326481710,1811.985,2.27,SO_NTO_P0,282119911492012
98,20201015020024,SO_NTO_P0,parse count (total),326490989,1813.536,5.12,SO_NTO_P0,282119911492012
99,20201015023038,SO_NTO_P0,parse count (total),326536128,1811.456,24.92,SO_NTO_P0,282119911492012
100,20201015030049,SO_NTO_P0,parse count (total),332011076,1809.369,3025.89,SO_NTO_P0,282119911492012
101,20201015033059,SO_NTO_P0,parse count (total),332015382,1750.771,2.46,SO_NTO_P0,282119911492012
102,20201015040009,SO_NTO_P0,parse count (total),332020518,1811.019,2.84,SO_NTO_P0,282119911492012
103,20201015043020,SO_NTO_P0,parse count (total),332025958,1814.299,3.0,SO_NTO_P0,282119911492012
104,20201015050035,SO_NTO_P0,parse count (total),332032388,1812.6,3.55,SO_NTO_P0,282119911492012
105,20201015053047,SO_NTO_P0,parse count (total),332045028,1755.57,7.2,SO_NTO_P0,282119911492012
106,20201015060003,SO_NTO_P0,parse count (total),332065144,1814.288,11.09,SO_NTO_P0,282119911492012
107,20201015063017,SO_NTO_P0,parse count (total),332099434,1813.779,18.91,SO_NTO_P0,282119911492012
108,20201015070031,SO_NTO_P0,parse count (total),332145244,1811.481,25.29,SO_NTO_P0,282119911492012
109,20201015073042,SO_NTO_P0,parse count (total),332196999,1810.908,28.58,SO_NTO_P0,282119911492012
110,20201015080053,SO_NTO_P0,parse count (total),332258422,1750.327,35.09,SO_NTO_P0,282119911492012
111,20201015083004,SO_NTO_P0,parse count (total),332344096,1812.097,47.28,SO_NTO_P0,282119911492012
112,20201015090016,SO_NTO_P0,parse count (total),332443580,1811.793,54.91,SO_NTO_P0,282119911492012
113,20201015093028,SO_NTO_P0,parse count (total),332544518,1810.811,55.74,SO_NTO_P0,282119911492012
114,20201015100038,SO_NTO_P0,parse count (total),332656928,1810.274,62.1,SO_NTO_P0,282119911492012
115,20201015103049,SO_NTO_P0,parse count (total),332762977,1751.458,60.55,SO_NTO_P0,282119911492012
116,20201015110000,SO_NTO_P0,parse count (total),332871093,1813.854,59.61,SO_NTO_P0,282119911492012
117,20201015113014,SO_NTO_P0,parse count (total),332980292,1811.91,60.27,SO_NTO_P0,282119911492012
118,20201015120026,SO_NTO_P0,parse count (total),333095158,1810.13,63.46,SO_NTO_P0,282119911492012
119,20201015123036,SO_NTO_P0,parse count (total),333199654,1810.776,57.71,SO_NTO_P0,282119911492012
120,20201015130047,SO_NTO_P0,parse count (total),333321010,1810.765,67.02,SO_NTO_P0,282119911492012
121,20201015133058,SO_NTO_P0,parse count (total),333431042,1749.909,62.88,SO_NTO_P0,282119911492012
122,20201015140007,SO_NTO_P0,parse count (total),333527605,1813.036,53.26,SO_NTO_P0,282119911492012
123,20201015143020,SO_NTO_P0,parse count (total),333631240,1813.755,57.14,SO_NTO_P0,282119911492012
124,20201015150034,SO_NTO_P0,parse count (total),333736189,1813.224,57.88,SO_NTO_P0,282119911492012
125,20201015153047,SO_NTO_P0,parse count (total),333827345,1752.65,52.01,SO_NTO_P0,282119911492012
126,20201015160000,SO_NTO_P0,parse count (total),333937419,1812.749,60.72,SO_NTO_P0,282119911492012
127,20201015163013,SO_NTO_P0,parse count (total),334027772,1812.42,49.85,SO_NTO_P0,282119911492012
128,20201015170025,SO_NTO_P0,parse count (total),334110860,1811.789,45.86,SO_NTO_P0,282119911492012
129,20201015173037,SO_NTO_P0,parse count (total),334217561,1811.425,58.9,SO_NTO_P0,282119911492012
130,20201015180049,SO_NTO_P0,parse count (total),334304144,1753.386,49.38,SO_NTO_P0,282119911492012
131,20201015183002,SO_NTO_P0,parse count (total),334380378,1814.333,42.02,SO_NTO_P0,282119911492012
132,20201015190016,SO_NTO_P0,parse count (total),334445202,1811.966,35.78,SO_NTO_P0,282119911492012
133,20201015193028,SO_NTO_P0,parse count (total),334508085,1812.239,34.7,SO_NTO_P0,282119911492012
134,20201015200040,SO_NTO_P0,parse count (total),334568895,1812.137,33.56,SO_NTO_P0,282119911492012
135,20201015203053,SO_NTO_P0,parse count (total),334630297,1751.586,35.06,SO_NTO_P0,282119911492012
136,20201015210004,SO_NTO_P0,parse count (total),334686996,1813.041,31.27,SO_NTO_P0,282119911492012
137,20201015213017,SO_NTO_P0,parse count (total),334741888,1812.373,30.29,SO_NTO_P0,282119911492012
138,20201015220030,SO_NTO_P0,parse count (total),334786251,1812.041,24.48,SO_NTO_P0,282119911492012
139,20201015223042,SO_NTO_P0,parse count (total),334823656,1811.284,20.65,SO_NTO_P0,282119911492012
140,20201015230053,SO_NTO_P0,parse count (total),334848129,1750.746,13.98,SO_NTO_P0,282119911492012
141,20201015000038,SYS$BACKGROUND,parse count (total),0,,,SYS$BACKGROUND,172804131844030
142,20201015003049,SYS$BACKGROUND,parse count (total),0,1811.638,0.0,SYS$BACKGROUND,172804131844030
143,20201015010100,SYS$BACKGROUND,parse count (total),0,1751.972,0.0,SYS$BACKGROUND,172804131844030
144,20201015013012,SYS$BACKGROUND,parse count (total),0,1811.985,0.0,SYS$BACKGROUND,172804131844030
145,20201015020024,SYS$BACKGROUND,parse count (total),0,1813.536,0.0,SYS$BACKGROUND,172804131844030
146,20201015023038,SYS$BACKGROUND,parse count (total),0,1811.456,0.0,SYS$BACKGROUND,172804131844030
147,20201015030049,SYS$BACKGROUND,parse count (total),0,1809.369,0.0,SYS$BACKGROUND,172804131844030
148,20201015033059,SYS$BACKGROUND,parse count (total),0,1750.771,0.0,SYS$BACKGROUND,172804131844030
149,20201015040009,SYS$BACKGROUND,parse count (total),0,1811.019,0.0,SYS$BACKGROUND,172804131844030
150,20201015043020,SYS$BACKGROUND,parse count (total),0,1814.299,0.0,SYS$BACKGROUND,172804131844030
151,20201015050035,SYS$BACKGROUND,parse count (total),0,1812.6,0.0,SYS$BACKGROUND,172804131844030
152,20201015053047,SYS$BACKGROUND,parse count (total),0,1755.57,0.0,SYS$BACKGROUND,172804131844030
153,20201015060003,SYS$BACKGROUND,parse count (total),0,1814.288,0.0,SYS$BACKGROUND,172804131844030
154,20201015063017,SYS$BACKGROUND,parse count (total),0,1813.779,0.0,SYS$BACKGROUND,172804131844030
155,20201015070031,SYS$BACKGROUND,parse count (total),0,1811.481,0.0,SYS$BACKGROUND,172804131844030
156,20201015073042,SYS$BACKGROUND,parse count (total),0,1810.908,0.0,SYS$BACKGROUND,172804131844030
157,20201015080053,SYS$BACKGROUND,parse count (total),0,1750.327,0.0,SYS$BACKGROUND,172804131844030
