,INDEX_NAME,LEAF_BLOCKS,AVG_LEAF_BLOCKS_PER_KEY,CLUSTERING_FACTOR,SAMPLE_SIZE
0,IDX_ENGINE_CONFIG,2,1,116,131
1,INDEX_ADVICES,0,0,0,0
2,INDEX_DOMAIN_OBJECTS,5,1,437,2387
3,INDEX_DOMAIN_OBJECTS_2,35,1,1699,2387
4,INDEX_DOMAIN_OBJECTS_3,6,1,437,2387
5,INDEX_DOMAIN_OBJECTS_4,9,1,437,2387
6,INDEX_DOMAIN_OBJECT_HISTORY,2,1,10,40
7,INDEX_MONITOR_ATTRIBUTES_6,5281311,1,246361262,185846
8,INDEX_MONITOR_ATTRIBUTES_7,3840117,1,136022568,256326
9,INDEX_MONITOR_ATTRIBUTES_8,6440129,1,434891211,165169
10,INDEX_MONITOR_BWTRACE,0,0,0,0
11,INDEX_MONITOR_BWTRACE_1,0,0,0,0
12,INDEX_MONITOR_BWTRACE_2,0,0,0,0
13,INDEX_MONITOR_EVENTS_2,3041483,1,268182829,167698
14,INDEX_MONITOR_EVENTS_3,3409251,1,488405610,167580
15,INDEX_MONITOR_EVENTS_4,3179517,1,278394437,175931
16,INDEX_MONITOR_EVENTS_5,3782415,1,333761708,134348
17,INDEX_MONITOR_MAIN_1,878064,1,108933325,138160
18,INDEX_MONITOR_MAIN_2,1746057,1,104324095,63736
19,INDEX_MONITOR_MAIN_3,1684639,1,111731074,74665
20,INDEX_MONITOR_MAIN_4,612823,1,53858863,215933
21,INDEX_MONITOR_MAIN_5,1839691,1,107555279,65139
22,INDEX_MONITOR_MAIN_6,608604,1,56141849,219783
23,INDEX_MONITOR_MAIN_7,909572,1,111039285,135935
24,INDEX_PRIVILEGES,14,1,2582,4572
25,INDEX_ROLES,1,1,95,151
26,INDEX_ROLE_MEMBERS,1,1,67,299
27,INDEX_TASKS_1,1,1,2,2
28,INDEX_TASKS_MAIN_1,1,1,2,2
29,INDEX_TASKS_MAIN_2,1,1,2,2
30,INDEX_TRACKS,25039024,1,172200077,31910
31,INDEX_TRACKS_1,5368422,1,143267319,158866
32,INDEX_TRACKS_2,6747711,1,862126855,151194
33,INDEX_TRACK_TEMPLATES_1,302295,340,22730268,73851
34,INDEX_TRACK_TEMPLATES_2,266757,9879,15562632,89189
35,NJAMS_Q_I_FT_INST_JOB_REQ_RCVR,1,1,1,1
36,NJAMS_Q_I_FT_JG,1,1,1,1
37,NJAMS_Q_I_FT_J_G,1,1,1,1
38,NJAMS_Q_I_FT_TG,1,1,1,1
39,NJAMS_Q_I_FT_TRIG_INST_NAME,1,1,1,1
40,NJAMS_Q_I_FT_T_G,1,1,1,1
41,NJAMS_Q_I_J_GRP,1,1,2,7
42,NJAMS_Q_I_J_REQ_RECOVERY,1,1,2,7
43,NJAMS_Q_I_T_C,1,1,2,7
44,NJAMS_Q_I_T_G,1,1,2,7
45,NJAMS_Q_I_T_J,1,1,3,7
46,NJAMS_Q_I_T_JG,1,1,2,7
47,NJAMS_Q_I_T_NEXT_FIRE_TIME,1,1,3,7
48,NJAMS_Q_I_T_NFT_MISFIRE,1,1,3,7
49,NJAMS_Q_I_T_NFT_ST,1,1,3,7
50,NJAMS_Q_I_T_NFT_ST_MISFIRE,1,1,3,7
51,NJAMS_Q_I_T_NFT_ST_MISFIRE_GRP,1,1,3,7
52,NJAMS_Q_I_T_N_G_STATE,1,1,3,7
53,NJAMS_Q_I_T_N_STATE,1,1,3,7
54,NJAMS_Q_I_T_STATE,1,1,3,7
55,NJAMS_STATISTICS_1,16993,1,489029,3073202
56,NJAMS_T_DP_CONNECTION_PK,1,1,146,265
57,NJAMS_T_DP_STATISTIC_PK,256,1,28573,29278
58,NJAMS_T_LAST_ACTIVITY_INFO_PK,5,1,416,2269
59,NJAMS_T_PLUGINS_PK,0,0,0,0
60,PK_ID_CONFIGURATION,1,1,5,83
61,PK_ID_MONITOR_SEARCH_ATTR,6,1,878,2575
62,PK_ID_PRIVILEGES,9,1,393,4572
63,PK_ID_PROCESS_DIAGRAMS,5,1,614,2168
64,PK_ID_ROLES,1,1,64,151
65,PK_ID_ROLE_MEMBERS,1,1,61,299
66,PK_ID_USERS,1,1,37,155
67,PK_NJAMS_Q_BLOB_TRIG,0,0,0,0
68,PK_NJAMS_Q_CALENDARS,0,0,0,0
69,PK_NJAMS_Q_CRON_TRIG,0,0,0,0
70,PK_NJAMS_Q_FIRED_TRIGGER,1,1,1,1
71,PK_NJAMS_Q_JOB_DETAILS,1,1,3,7
72,PK_NJAMS_Q_LOCKS,1,1,1,2
73,PK_NJAMS_Q_PAUSED_TRIG_GRPS,0,0,0,0
74,PK_NJAMS_Q_SCHEDULER_STATE,1,1,2,2
75,PK_NJAMS_Q_SIMPLE_TRIG,0,0,0,0
76,PK_NJAMS_Q_SIMPROP_TRIG,1,1,3,7
77,PK_NJAMS_Q_TRIGGERS,1,1,3,7
78,UINDEX_ACTIVITY_STATISTICS,23726,1,3047240,493298
79,UINDEX_IMAGES,1,1,138,142
80,UINDEX_MONITOR_BO,2,1,182,232
81,UINDEX_MONITOR_BS,17963,1,810784,51246
82,UINDEX_MONITOR_EVENTS,4152178,1,122856898,118509
83,UINDEX_MONITOR_SEARCH_ATT,28,1,1463,2575
84,UINDEX_PRIVILEGES,12,1,733,4572
85,UINDEX_TRACK_TEMPLATES,376773,1,23081473,70879
86,UINDEX_USERS,1,1,117,155
